gene	EEP	MEP	LEP	ESP	LSP	gap	25C	gap	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	Low Fe2+ shock	Anaerobic shock	gap	Anaerobic growth	Oxygen shock	gap	NonSPI2	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)	gap	Macrophage 	Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
STnc2080	325	322	695	1684	8790		277		420	467	407	632	312	363	762		1013	573		832	2077	4264	1734	1989		731	STnc2080		sRNA	2759410	2759518	-			SL1344_STnc2080
IsrJ	554	541	501	393	1615		330		452	489	690	1537	461	666	706		597	817		504	640	841	1395	975		236	IsrJ		sRNA	2759646	2759717	-			SL1344_IsrJ
STnc1160	3572	4282	3105	9748	35021		3176		1267	4472	4952	5341	402	6464	4978		6457	5688		9896	13058	7621	9412	6977		9283	STnc1160		sRNA	2760372	2760451	-			SL1344_STnc1160
IsrK	753	962	762	676	227		542		1099	559	1032	952	252	1478	571		524	994		807	1809	648	394	764		428	IsrK		sRNA	2760480	2760556	-			SL1344_IsrK
STnc1390	958	2464	1510	4065	1460		1382		1682	2718	2451	3146	323	2773	2482		2331	2223		2233	2031	1645	4300	3446		583	STnc1390		sRNA	2767704	2767767	+			SL1344_STnc1390
STnc1400	599	1565	1124	1189	52		728		1220	2440	1577	1034	97	1665	824		865	781		967	1082	1008	1278	906		267	STnc1400		sRNA	2770951	2771060	-			SL1344_STnc1400
STnc3160	39	70	244	141	544		63		96	52	79	81	90	103	288		199	102		75	122	73	31	191		39	STnc3160		sRNA	2807810	2807900	-			SL1344_STnc3160
STnc2090	17	110	321	2635	3166		76		116	149	44	450	444	367	34766		15409	292		216	389	638	4071	1365		2741	STnc2090		sRNA	2808306	2808464	+			SL1344_STnc2090
sRNA3	318	392	435	719	175		588		2461	1973	419	1360	623	599	768		673	532		920	697	846	929	2080		593	sRNA3		sRNA	2808504	2808645	+			SL1344_sRNA3
STnc3790	20	8	17	16	15		13		41	26	5	43	19	11	46		40	26		19	16	26	100	77		8	STnc3790		sRNA	2810663	2810737	+			SL1344_STnc3790
STnc3800	108	127	118	80	173		72		100	121	201	273	144	192	218		108	122		103	163	275	340	265		70	STnc3800		sRNA	2824672	2825000	-			SL1344_STnc3800
STnc4230	162	220	196	125	26		479		229	514	278	88	228	268	80		160	176		205	177	145	71	200		47	STnc4230		sRNA	2831934	2832038	+			SL1344_STnc4230
IsrL	17	8	20	16	2		3		11	10	14	11	21	14	17		17	17		17	13	10	8	17		22	IsrL		sRNA	2850244	2850588	-			SL1344_IsrL
STnc3070	112	190	124	363	374		102		86	655	162	563	341	323	962		383	169		173	154	316	737	574		81	STnc3070		sRNA	2851166	2851225	-			SL1344_STnc3070
IsrM	3	1	2	1	0		2		3	1	0	4	1	3	6		4	2		2	3	5	1	3		5	IsrM		sRNA	2927616	2927944	+			SL1344_IsrM
IsrN	0	0	1	0	0		1		1	0	0	1	1	0	0		1	1		0	0	0	0	0		1	IsrN		sRNA	2929501	2929643	+			SL1344_IsrN
STnc3080	18	27	3	0	48		5		29	38	16	49	117	549	19		6	5		12	1	2	135	31		172	STnc3080		sRNA	2974260	2974404	-			SL1344_STnc3080
MicA	752	754	345	1076	18099		598		14602	1871	772	11784	643	542	4487		12356	617		370	2352	29492	3853	3129		5701	sraD		sRNA	2989429	2989502	+			SL1344_MicA
C0664	1	0	1	0	0		3		0	0	3	2	0	1	4		2	1		2	1	1	0	87		1	C0664		sRNA	3010214	3010321	+			SL1344_C0664
STnc4240	469	355	293	90	26		654		580	535	280	484	312	426	239		148	193		256	95	54	12	155		52	STnc4240		sRNA	3037101	3037394	+			SL1344_STnc4240
STnc3020	9	16	8	10	8		8		19	10	9	39	5	17	26		12	5		17	260	311	94	75		21	STnc3020		sRNA	3038687	3038786	+			SL1344_STnc3020
STnc1410	49	48	56	50	216		68		104	112	33	180	49	64	101		83	53		56	35	67	101	125		36	STnc1410		sRNA	3048830	3049012	+			SL1344_STnc1410
InvR	793	1005	9608	36360	11467		917		1073	1823	1012	1880	1167	1084	1171		12334	19044		2005	239	498	1564	2042		106	InvR	STnc270	sRNA	3067500	3067579	+			SL1344_InvR
STnc3140	112	57	53	93	214		50		66	59	297	311	64	71	47		20	58		3104	1554	1257	113	288		38	STnc3140		sRNA	3109885	3109981	-			SL1344_STnc3140
CsrB	4259	7091	7289	8198	813		8584		5249	6968	1690	3747	3576	7961	10759		9463	5373		4607	583	1477	3102	4113		774	CsrB		sRNA	3138160	3138522	-			SL1344_CsrB
GcvB	14899	25842	15786	6372	97		27460		14998	27465	18683	3830	41389	14080	22531		35270	20018		50	47	481	391	188		593	IS145		sRNA	3156779	3156979	+			SL1344_GcvB
STnc3830	52	46	57	66	78		84		65	197	53	248	77	55	195		34	43		45	39	56	258	109		20	STnc3830		sRNA	3186446	3186537	-			SL1344_STnc3830
OmrA	476	501	863	650	1912		750		572	1048	2103	1499	1457	1006	1403		1253	503		160	735	1589	951	544		1164	rygB		sRNA	3191584	3191670	-			SL1344_OmrA
OmrB	1719	1948	3137	1017	405		2227		2616	3048	8304	5469	4767	4220	4889		1729	855		255	2691	4764	3469	1654		4893	t59 rygA sraE		sRNA	3191785	3191870	-			SL1344_OmrB
STnc290	300	403	880	1577	867		166		598	773	346	852	311	451	999		635	357		1070	586	921	1645	1739		229	STnc290		sRNA	3215639	3215717	-			SL1344_STnc290
IsrO	74	60	56	34	35		60		141	107	48	129	67	74	68		49	63		29	33	72	26	48		44	IsrO		sRNA	3219100	3219300	+			SL1344_IsrO
SsrS	19703	38323	36214	64800	103396		24664		14411	39152	38360	55028	1899	39500	75230		66122	42290		34274	50266	46310	49347	46012		47193	6S		sRNA	3242594	3243000	+			SL1344_SsrS
RygC	1713	2774	4020	6251	4398		650		1001	3766	2496	1479	375	3634	1959		4326	6629		6099	8091	5698	2593	5210		4313	t27 SibC QUAD1c		sRNA	3243669	3243813	+			SL1344_RygC
STnc3030	58	54	157	90	23		110		209	265	27	47	175	54	126		44	30		59	50	36	19	32		72	STnc3030		sRNA	3250106	3250210	+			SL1344_STnc3030
STnc750	503	720	683	475	743		633		706	434	560	347	690	591	550		524	609		217	543	387	306	469		172	sRNA8		sRNA	3261185	3261273	-			SL1344_STnc750
STnc3150	13	39	10	14	6		35		67	50	25	108	74	77	69		19	20		19	47	134	28	76		30	STnc3150		sRNA	3273499	3273824	-			SL1344_STnc3150
STnc3850	43	47	55	39	5		105		60	69	66	27	57	82	73		31	28		32	37	29	19	40		21	STnc3850		sRNA	3275931	3276099	-			SL1344_STnc3850
STnc3860	17	18	13	34	69		9		17	160	11	30	24	26	40		30	20		9	14	13	36	25		16	STnc3860		sRNA	3283748	3283844	-			SL1344_STnc3860
STnc3870	6	22	23	48	64		25		27	15	12	87	21	15	94		78	46		55	53	36	137	137		4555	STnc3870		sRNA	3296886	3297024	-			SL1344_STnc3870
STnc3880	6	12	113	106	34		8		43	68	10	60	33	22	18		14	30		50	37	155	77	200		27	STnc3880		sRNA	3305410	3305515	+			SL1344_STnc3880
STnc1170	9	6	27	186	15		3		26	12	10	33	11	17	380		547	49		14	17	11	5	32		78	STnc1170		sRNA	3312429	3312525	-			SL1344_STnc1170
STnc3890	101	92	135	250	216		113		240	223	189	481	45	210	100		127	152		208	349	166	563	944		58	STnc3890		sRNA	3322951	3323033	+			SL1344_STnc3890
STnc1820	273	207	176	115	205		244		504	272	399	738	105	266	289		235	177		114	110	132	535	216		45	STnc1820		sRNA	3349037	3349187	-			SL1344_STnc1820
STnc3920	1	1	0	2	601		1		2	0	3	9	1	3	1		1	2		0	3	3	5	2		2	STnc3920		sRNA	3349508	3349727	+			SL1344_STnc3920
SroG	565	639	461	299	10		822		817	489	699	471	477	714	587		590	309		505	499	400	190	266		576	SroG		sRNA	3379312	3379412	-			SL1344_SroG
STnc1420	43	140	153	155	51		70		125	273	172	86	42	89	278		187	62		104	130	112	200	150		81	STnc1420		sRNA	3382981	3383131	+			SL1344_STnc1420
RygD	2167	2974	3548	7772	4240		855		1276	4194	2417	3578	393	4654	4628		6737	6402		7087	7059	4667	5731	5888		7156	tp8 SibD C0730		sRNA	3383000	3383144	-			SL1344_RygD
SraF	1199	1210	1957	1694	467		1514		8198	1105	960	3069	371	1401	472		453	1431		1852	531	705	233	1155		362	tpk1 IS160 PRE-element		sRNA	3412774	3412961	+			SL1344_SraF
STnc310	15	16	75	24	70		18		133	30	44	154	25	26	7		2	69		13	22	49	128	245		5	STnc310		sRNA	3413972	3414032	-			SL1344_STnc310
SraG	2111	1525	1396	919	132		2468		2392	2189	1834	1136	1843	1747	859		939	1038		1496	930	848	379	1396		542	SraG		sRNA	3472142	3472312	-			SL1344_SraG
STnc3950	44	59	31	28	25		23		70	53	69	68	24	65	87		55	43		24	35	46	56	79		15	STnc3950		sRNA	3480987	3481116	-			SL1344_STnc3950
STnc1660	223	246	249	164	20		234		475	161	145	394	148	199	129		120	254		280	72	62	35	60		404	STnc1660		sRNA	3489125	3489247	-			SL1344_STnc1660
STnc3960	24	40	47	31	55		30		89	41	50	61	23	58	90		92	65		47	46	77	73	109		12	STnc3960		sRNA	3491490	3491592	+			SL1344_STnc3960
STnc3970	95	194	117	164	33		47		170	209	276	153	30	246	332		236	115		105	253	268	399	515		35	STnc3970		sRNA	3507628	3507677	-			SL1344_STnc3970
ArcZ	3733	4072	21577	36725	60795		6118		6454	8420	3546	10410	16659	6617	12031		12378	7782		16236	15219	16181	18390	22685		2766	SraH ryhA		sRNA	3511800	3511917	+			SL1344_ArcZ
STnc3060	54	61	44	52	9		62		68	114	84	339	137	149	94		78	63		97	58	85	86	134		60	STnc3060		sRNA	3533708	3533783	+			SL1344_STnc3060
STnc3050	21	41	36	125	63		14		15	47	49	77	9	38	69		67	53		91	217	169	147	90		252	STnc3050		sRNA	3543529	3543654	-			SL1344_STnc3050
IstR	272	179	175	151	298		213		402	399	240	617	51	183	185		316	194		170	132	553	951	535		94	IstR-12	IstR-1_2	sRNA	4019329	4019460	-			SL1344_IstR-1_2
STnc2100	32	26	9	14	4		62		43	26	107	57	15	13	18		23	21		24	33	110	40	109		18	STnc2100		sRNA	3550903	3550965	+			SL1344_STnc2100
STnc3990	69	58	63	54	25		59		68	77	82	135	105	83	70		67	82		51	52	110	57	127		36	STnc3990		sRNA	3587262	3587429	-			SL1344_STnc3990
STnc1670	3	2	19	105	9		1		4	143	1	17	41	1	423		166	5		5	5	13	59	15		30	STnc1670		sRNA	3593794	3593896	+			SL1344_STnc1670
STnc4000	48	44	11	12	195		14		36	63	56	81	139	240	7		7	31		34	8	30	280	58		36	STnc4000		sRNA	3619657	3619755	+			SL1344_STnc4000
STnc1590	1382	1787	1575	1792	879		1777		1835	2200	2470	3933	810	2503	2384		1956	1649		2097	1828	1223	1041	2231		1006	STnc1590		sRNA	3633247	3633424	-			SL1344_STnc1590
STnc340	32	20	28	21	45		37		64	27	50	63	16	29	22		15	13		17	19	31	23	24		8	STnc340		sRNA	3657275	3657403	-			SL1344_STnc340
STnc760	59	81	151	182	27		68		46	109	104	184	158	111	143		153	220		260	2128	2587	3683	3381		138	STnc760		sRNA	3684975	3685117	-			SL1344_STnc760
STnc4010	3	3	11	14	69		3		0	4	4	86	5	8	17		25	33		5	4	34	19	31		8	STnc4010		sRNA	3729767	3729899	+			SL1344_STnc4010
RyhB-1	207	125	36	38	3678		64		315	404	114	52	1127	20615	57		26	29		104	24	28	17127	895		5263	SraI IS176 RfrA		sRNA	3736723	3736818	-			SL1344_RyhB-1
STnc1830	9	7	18	15	13		6		11	15	12	67	7	15	17		16	18		36	38	60	66	142		11	STnc1830		sRNA	3739679	3739898	-			SL1344_STnc1830
sRNA12	0	3	8	12	48		7		3	2	3	17	3	10	21		11	20		4	14	39	11	35		17	sRNA12		sRNA	3755045	3755125	-			SL1344_sRNA12
STnc770	240	205	316	482	174		147		404	451	203	705	315	208	929		757	295		207	158	189	350	288		128	sRNA6		sRNA	3778181	3778333	-			SL1344_STnc770
STnc350	124	103	102	92	21		94		115	226	128	252	142	149	315		178	111		9	19	88	38	42		19	STnc350		sRNA	3782696	3782857	-			SL1344_STnc350
STnc4020	57	95	109	40	3		79		156	157	169	89	65	204	121		71	72		48	164	43	16	151		13	STnc4020		sRNA	3801175	3801266	+			SL1344_STnc4020
STnc710	5997	11108	14488	13600	9193		9731		14390	19712	21162	17425	687	11792	14272		18261	12977		11315	14430	22782	6900	25130		1250	STnc710		sRNA	3829661	3829728	+			SL1344_STnc710
STnc1430	164	351	462	662	75		140		177	236	260	200	202	355	750		554	336		262	363	175	360	254		308	STM3624.1N		sRNA	3829428	3829797	-			SL1344_STnc1430
STnc780	206	222	180	153	49		233		254	262	214	646	251	162	155		108	117		179	96	128	113	274		130	STnc780		sRNA	3858666	3858993	-			SL1344_STnc780
STnc380	48	20	13	10	19		27		56	82	34	134	22	23	11		29	155		25	86	311	194	107		20	STnc380		sRNA	3906945	3907052	-			SL1344_STnc380
AmgR	1	3	3	4	6		2		2	2	5	18	2	3	3		3	4		3	6	15	5	9		3	AmgR		sRNA	3985660	3986859	+			SL1344_AmgR
STnc4040	27	59	59	81	27		28		25	61	53	65	79	56	423		58	48		83	61	119	22	131		35	STnc4040		sRNA	3993822	3993945	-			SL1344_STnc4040
STnc2110	51	112	17	34	6		29		233	34	47	873	121	270	30		28	63		56	47	42	60	574		88	STnc2110		sRNA	4030646	4030702	-			SL1344_STnc2110
STnc4250	406	458	374	120	14		406		819	474	590	88	346	376	186		133	235		304	258	63	126	75		93	STnc4250		sRNA	4069297	4069429	+			SL1344_STnc4250
STnc3170	5	4	9	43	13		6		13	7	6	19	27	7	32		19	20		24	118	417	188	49		128	STnc3170		sRNA	4070923	4071038	-			SL1344_STnc3170
STnc400	18710	32128	93064	103597	150282		97383		43691	72005	58370	29031	8582	52871	86577		198489	126615		37644	30136	26054	102216	129556		7522	STnc400		sRNA	4072457	4072530	+			SL1344_STnc400
STnc1860	97	549	363	617	137		366		363	814	540	674	41	647	789		275	472		178	957	706	488	374		161	STnc1860		sRNA	4081219	4081303	-			SL1344_STnc1860
GlmZ	3741	4657	5081	1751	533		3127		4244	4503	3956	2479	1948	3993	2201		4148	3939		3726	7752	10688	2850	2459		1659	k19 ryiA SraJ		sRNA	4163193	4163400	+			SL1344_GlmZ
STnc790	16	73	600	194	267		6		38	82	35	201	52	57	67		18	56		48	33	21	79	66		89	STnc790		sRNA	4209486	4209681	-			SL1344_STnc790
Spf	18937	15161	1138	698	416		25260		19184	15860	21879	14171	13838	14498	3873		3776	8602		15148	17493	17079	25984	27488		2487	Spot 42		sRNA	4230505	4230614	+			SL1344_Spf
CsrC	5133	4070	10563	15523	3411		2632		4189	5327	1605	3305	8109	4261	8238		10943	7249		6321	2533	2730	2972	3521		1880	SraK RyiB tpk2		sRNA	4231596	4231839	+			SL1344_CsrC
STnc800	235	1163	242	208	5		686		878	1241	190	435	870	738	647		143	273		1583	2570	183	3238	2515		244	STnc800		sRNA	4236852	4237036	-			SL1344_STnc800
STnc3120	29	21	71	68	281		15		26	39	37	246	41	50	90		69	109		28	47	121	124	175		12	STnc3120		sRNA	4249943	4250101	+			SL1344_STnc3120
STnc870	807	1126	1765	4517	14391		997		994	965	336	3859	995	654	452		752	2008		1997	38	45	64	60		1520	STnc870		sRNA	4292541	4292598	+			SL1344_STnc870
IsrP	64	45	67	26	5		53		102	60	37	39	58	64	17		25	37		59	58	57	20	28		35	IsrP		sRNA	4328158	4328305	+			SL1344_IsrP
STnc4070	29	33	34	32	7		24		48	74	49	69	27	52	136		74	32		12	22	19	55	118		8	STnc4070		sRNA	4334758	4334856	-			SL1344_STnc4070
STnc4080	6	7	5	3	46		12		17	12	12	7	4	9	7		9	7		27	42	33	445	23		4	STnc4080		sRNA	4339806	4339930	-			SL1344_STnc4080
STnc1600	45	43	113	204	37		51		93	134	67	86	153	71	317		135	69		105	88	164	135	216		90	STnc1600		sRNA	4356617	4356687	+			SL1344_STnc1600
OxyS	93	111	68	42	75		52		122	154	564	136	2131	116	122		1263	3798		43	75	55	21569	445		598	OxyS		sRNA	4364306	4364424	-			SL1344_OxyS
STnc3490	119	36	40	18	23		50		89	46	67	310	34	55	52		25	63		49	25	28	89	70		6	STnc3490		sRNA	4395604	4395692	-			SL1344_STnc3490
STnc1460	2137	8427	5584	5532	142		2695		4043	4376	8226	6488	327	6880	5305		2312	2522		5782	7491	3614	5500	3082		1486	STnc1460		sRNA	4403811	4404050	-			SL1344_STnc1460
STnc4100	61	44	59	82	15		102		62	96	65	39	21	68	92		109	69		57	105	119	69	168		28	STnc4100		sRNA	4448721	4448838	+			SL1344_STnc4100
STnc810	14	422	240	391	14		61		354	405	69	149	225	184	1844		48	14		56	22	22	36	53		22	STnc2120		sRNA	4467935	4467989	-			SL1344_STnc810
STnc2130	72	887	1153	1182	374		316		925	638	1038	461	146	722	3847		2875	1217		211	446	531	510	492		141	STnc2130		sRNA	4475778	4475868	+			SL1344_STnc2130
STnc880	1018	1284	5325	2787	3105		9304		2948	5280	445	395	3264	1027	1102		1260	1114		1190	288	197	241	445		461	STnc880		sRNA	4486746	4486824	+			SL1344_STnc880
SraL	10	22	141	531	2157		12		9	27	10	391	17	54	229		807	366		64	835	3319	664	703		464	ryjA		sRNA	4526163	4526303	-			SL1344_SraL
STnc630	727	914	1021	675	170		986		1472	2351	1643	3210	1481	844	514		1342	1389		1565	9748	14130	35790	9683		856	STnc2140		sRNA	4553814	4553973	+			SL1344_STnc630
STnc1180	24	23	48	57	24		15		15	21	14	32	44	20	38		389	133		32	32	47	59	64		17	STnc1180		sRNA	4559884	4559978	-			SL1344_STnc1180
STnc4110	9	27	47	60	73		17		22	25	31	121	36	41	115		51	27		43	29	26	215	86		4	STnc4110		sRNA	4562398	4562462	+			SL1344_STnc4110
STnc440	289	386	2024	5074	2251		459		504	889	2386	2418	1201	409	1008		3144	2365		910	22194	36333	18429	3189		42098	STnc440		sRNA	4580486	4580566	+			SL1344_STnc440
STnc3000	19	22	41	37	13		30		90	46	58	194	4	88	8		12	42		51	38	57	163	164		3	STnc3000		sRNA	4591419	4591506	+			SL1344_STnc3000
STnc4120	86	85	109	87	117		81		87	96	96	136	154	112	169		90	65		68	77	169	127	172		52	STnc4120		sRNA	4650288	4650411	-			SL1344_STnc4120
STnc1740	113	115	75	42	19		228		126	233	135	102	217	149	212		103	66		59	41	53	32	88		16	STnc1740		sRNA	4683334	4683513	-			SL1344_STnc1740
STnc2160	2	32	61	108	9		13		42	31	19	64	35	11	383		103	25		32	31	31	57	85		5	STnc2160		sRNA	4683637	4683700	-			SL1344_STnc2160
IsrQ	1	1	3	0	0		2		2	1	1	0	1	4	0		1	1		2	1	0	0	1		7	IsrQ		sRNA	4783575	4783742	+			SL1344_IsrQ
STnc4260	31	16	49	25	31		4		57	61	50	599	32	35	8		14	72		32	14	34	178	145		18	STnc4260		sRNA	4791125	4791218	+			SL1344_STnc4260
STnc4130	28	49	73	122	74		35		123	129	100	310	20	84	190		168	71		144	110	121	345	233		9	STnc4130		sRNA	4796789	4796864	-			SL1344_STnc4130
STnc1470	1717	3216	2177	3910	3371		2537		805	1183	2797	10507	90	3193	3377		3539	3018		5309	5779	2167	7553	5723		2610	STnc1470		sRNA	4797958	4798032	+			SL1344_STnc1470
STnc4140	70	162	180	225	270		50		122	124	139	134	72	176	513		266	103		86	140	175	220	387		78	STnc4140		sRNA	4846459	4846541	-			SL1344_STnc4140
