locus_tag	common gene name	strand	start	end	25C
SL1344_0617	cspE	+	692400	692612	12520
SL1344_0618	ccrB	-	692670	693053	57
SL1344_0619		+	693144	693932	3
SL1344_0620	tatE	+	694061	694264	96
SL1344_0621	lipA	-	694350	695315	188
SL1344_0622	ybeF	-	695521	696474	7
SL1344_0623	lipB	-	696776	697417	42
SL1344_0624	ybeD	-	697517	697711	265
SL1344_0625	dacA	-	697889	699100	124
SL1344_0626	rlpA	-	699240	700307	82
SL1344_0627	mrdB	-	700318	701430	58
SL1344_0628	mrdA	-	701433	703334	58
SL1344_0629	ybeA	-	703365	703832	82
SL1344_0630	ybeB	-	703836	704153	73
SL1344_0631	cobC	-	704482	705090	5
SL1344_0632	cobD	+	705187	706281	3
SL1344_0633	nadD	-	706256	706897	27
SL1344_0634	holA	-	706899	707930	64
SL1344_0635	rlpB	-	707930	708520	174
SL1344_0636	leuS	-	708535	711117	79
SL1344_0637		+	711405	711695	0
SL1344_0638		+	711712	712884	1
SL1344_0639		+	713003	713887	22
SL1344_0640		+	713955	715883	17
SL1344_0641	ybeL	+	715976	716449	58
SL1344_0642	ybeQ	-	716488	717483	5
SL1344_0643	ybeR	+	717608	718315	1
SL1344_0644	ybeS	+	718312	719745	1
SL1344_0645	ybeU	+	719757	720453	2
SL1344_0647	ybeV	+	720450	721922	4
SL1344_0648	hscC	-	721944	723623	2
SL1344_0649		-	723699	724937	10
SL1344_0650	rihA	-	724969	725904	9
SL1344_0651	gltL	-	726021	726746	14
SL1344_0652	gltK	-	726746	727420	10
SL1344_0653	gltJ	-	727420	728160	8
SL1344_0654	gltI	-	728320	729246	28
SroC		-	728324	728172	528
SL1344_0655	lnt	-	729583	731121	40
SL1344_0656	ybeX	-	731141	732019	88
SL1344_0657	ybeY	-	732177	732650	92
SL1344_0658	phoL	-	732647	733732	38
SL1344_0659	miaB	-	733898	735322	77
SL1344_0660	ubiF	+	735466	736641	13
SL1344_0661		-	736708	737283	13
STnc3290		+	738320	738476	25
SL1344_0662	asnB	-	738350	740014	7
SL1344_0663	nagD	-	740304	741056	34
SL1344_0664	nagC	-	741103	742323	22
SL1344_0665	nagA	-	742328	743482	36
SL1344_0666	nagB	-	743542	744342	23
SL1344_0667	nagE	+	744669	746621	22
SL1344_0668	glnS	+	746832	748499	114
STnc3300		-	748639	748530	39
SL1344_0669	ybfM	+	748945	750351	16
SL1344_0670	ybfN	+	750401	750733	25
SL1344_0671		-	750782	752086	3
SL1344_0672		-	752137	753276	1
SL1344_0673		-	753263	754666	2
SL1344_0674		-	754764	755690	19
SL1344_0675	fur	-	755805	756257	466
sRNA9		-	756436	756377	815
SL1344_0676	fldA	-	756539	757069	341
SL1344_0677	ybfE	-	757232	757513	134
SL1344_0678	ybfF	-	757647	758417	24
SL1344_0679	seqA	+	758602	759144	92
SL1344_0680	pgm	+	759169	760809	73
SL1344_0681		-	760924	761409	1
SL1344_0682	potE	-	761474	762793	1
SL1344_0683	speF	-	762790	764988	1
SL1344_0684	kdpE	-	765750	766427	8
SL1344_0685	kdpD	-	766424	769108	3
SL1344_0686	kdpC	-	769105	769689	2
SL1344_0687	kdpB	-	769698	771746	1
SL1344_0688	kdpA	-	771767	773446	0
SL1344_0688A	kdpF	-	773446	773535	0
SL1344_0689	ybfA	+	773872	774078	22
SL1344_0690	phrB	+	774189	775610	7
SL1344_0691	ybgH	-	775649	777130	9
SL1344_0692	ybgI	+	777459	778202	37
SL1344_0693	ybgJ	+	778218	778874	19
SL1344_0694	ybgK	+	778868	779800	12
SL1344_0695	ybgL	+	779790	780524	15
SL1344_0696		+	780848	780979	1
SL1344_0697	fimB	+	781039	781605	9
SL1344_0698		+	782065	782400	1
SL1344_0699		+	782402	783142	0
SL1344_0700		+	783428	784579	1
SL1344_0702		+	784576	785472	0
SL1344_0703		+	785485	786618	1
SL1344_0704		+	786747	787517	0
SL1344_0705		+	787521	788231	1
SL1344_0706		+	788325	790103	2
SL1344_0707		+	790296	791129	1
SL1344_0708		+	791187	793082	2
SL1344_0709		+	793150	793287	25
SL1344_0710	nei	+	793336	794127	15
SL1344_0711	abrB	-	794182	795144	5
SL1344_0712	gltA	-	795365	796648	90
SL1344_0713		+	796623	796994	5
SL1344_0714	sdhC	+	797403	797792	231
SL1344_0715	sdhD	+	797786	798133	131
SL1344_0716	sdhA	+	798133	799899	94
SL1344_0717	sdhB	+	799913	800632	159
SL1344_0718	sucA	+	801156	803957	82
SL1344_0719	sucB	+	803972	805180	80
SL1344_0720	sucC	+	805322	806488	60
SL1344_0721	sucD	+	806488	807357	77
RybD		+	807346	807429	1009
SL1344_0722	cydA	+	808940	810508	73
SL1344_0723	cydB	+	810524	811663	64
SL1344_0724	ybgT	+	811678	811791	137
SL1344_0725	ybgE	+	811928	812209	69
SL1344_0726	ybgC	+	812438	812842	192
SL1344_0727	tolQ	+	812839	813531	118
SL1344_0728	tolR	+	813535	813963	118
SL1344_0729	tolA	+	814028	815251	82
SL1344_0730	tolB	+	815375	816667	195
SL1344_0731	pal	+	816702	817226	579
SL1344_0732	ybgF	+	817236	818024	243
SL1344_0733	nadA	+	819489	820532	7
SL1344_0734	pnuC	+	820557	821276	11
SL1344_0735	ybgR	-	821273	822211	7
SL1344_0736	ybgS	-	822322	822708	5
SL1344_0737	aroG	+	823028	824080	56
SL1344_0738		-	824174	824719	5
SL1344_0739		-	824734	825579	5
SL1344_0740		+	825709	826599	26
SL1344_0741		-	826600	827526	4
SL1344_0742		+	827806	829074	0
SL1344_0743	dcoC	+	829124	829369	1
SL1344_0744	dcoA	+	829385	831160	0
SL1344_0745	dcoB	+	831173	832474	0
SL1344_0746		+	832593	833291	2
SL1344_0747		+	833671	834750	2
SL1344_0748		+	834750	835526	3
SL1344_0749	gpmA	-	835617	836369	303
SL1344_0750	galM	-	836593	837633	20
SL1344_0751	galK	-	837627	838775	18
SL1344_0752	galT	-	838778	839824	13
SL1344_0753	galE	-	839835	840851	28
SL1344_0754		-	841074	841982	1
SL1344_0755	modF	-	842153	843628	24
SL1344_0756	modE	-	843696	844484	20
SL1344_0757	ybhT	+	844613	844762	633
SL1344_0758	modA	+	844929	845702	55
SL1344_0759	modB	+	845702	846391	31
SL1344_0760	modC	+	846394	847452	22
SL1344_0761	ybhA	-	847453	848271	16
SL1344_0762	ybhE	+	848435	849430	16
SL1344_0763	ybhC	-	849574	850857	70
SL1344_0764	hutI	+	851095	852318	14
SL1344_0765	hutG	+	852315	853256	7
SL1344_0766	hutC	+	853349	854026	9
SL1344_0767	hutU	+	854223	855908	6
SL1344_0768	hutH	+	855910	857430	6
SL1344_0769	ybhB	-	857515	857991	21
SL1344_0770	bioA	-	858049	859338	2
SL1344_0771	bioB	+	859425	860465	2
SL1344_0772	bioF	+	860462	861619	1
SL1344_0773	bioC	+	861603	862358	0
SL1344_0774	bioDa	+	862351	863037	1
STnc3340		-	863391	863329	49
SL1344_0775	uvrB	+	863688	865709	26
SL1344_0776	slrP	+	866199	868496	12
SL1344_0777	ybhK	-	868588	869496	16
SL1344_0778	moaA	+	869893	870882	41
SL1344_0779	moaB	+	870904	871416	31
SL1344_0780	moaC	+	871419	871904	32
SL1344_0781	moaD	+	871891	872142	31
SL1344_0782	moaE	+	872144	872596	39
SL1344_0783	ybhL	+	872644	873348	124
SL1344_0784	ybhM	+	873495	874202	2
SL1344_0785		+	874226	874834	3
SL1344_0786		+	874842	875402	2
SL1344_0787	ybhN	-	875405	876367	2
SL1344_0788	ybhO	-	876367	877608	1
SL1344_0789	ybhP	-	877605	878363	1
SL1344_0790	ybhQ	+	878496	878906	147
SL1344_0791	ybhR	-	878868	879974	12
SL1344_0792	ybhS	-	880090	881220	10
SL1344_0793	ybhF	-	881213	882949	9
SL1344_0794		-	882942	883937	10
SL1344_0795	ybiH	-	883937	884611	12
SL1344_0796	rhlE	+	884841	886205	48
SL1344_0797	dinG	+	886512	888557	25
SL1344_0798	ybiB	+	888587	889561	25
STnc980		-	889714	889558	28
SL1344_0799	ybiJ	-	889717	889977	6
SL1344_0800	ybiI	-	890262	890528	20
SL1344_0801	ybiN	+	890733	891665	18
SL1344_0802	ybiO	-	891662	893884	6
SL1344_0803	glnQ	-	894003	894725	192
SL1344_0804	glnP	-	894722	895381	135
SL1344_0805	glnH	-	895525	896271	401
SL1344_0806	dps	-	896748	897251	75
SL1344_0807	ybiF	-	897554	898441	20
SL1344_0808	ompX	+	898795	899310	1443
SL1344_0809	ybiP	-	899373	900953	21
RybA		-	901397	901301	582
SL1344_0810		+	901532	902005	58
SL1344_0811	ybiR	+	902002	903114	19
SL1344_0812	ybiS	-	903158	904078	99
SL1344_0813	ybiT	+	904297	905889	62
SL1344_0814		+	906498	907241	3
SL1344_0815	ybiV(2)	-	907270	907800	1
SL1344_0817	ybiU	-	908194	909459	2
SL1344_0818	ybiV(1)	+	909721	910530	88
SL1344_0819	pflF	-	910608	913040	0
SL1344_0820	pflE	-	913046	913945	0
SL1344_0821	moeB	-	914223	914972	25
SL1344_0822	moeA	-	914972	916213	17
SL1344_0823	ybiK	+	916410	917351	17
SL1344_0824	yliA	+	917362	919233	13
SL1344_0825	yliB	+	919266	920804	12
SL1344_0826	yliC	+	920865	921785	10
SL1344_0827	yliD	+	921788	922699	11
SL1344_0828	rimO	-	922790	924115	50
SL1344_0829	bssR	+	924346	924729	7
STnc1200		-	924838	924769	549
SL1344_0830		+	925442	925957	2
SL1344_0831		+	925875	926729	3
SL1344_0832		+	926740	927687	3
SL1344_0833		+	927981	929144	7
SL1344_0834		+	929593	931278	4
SL1344_0835		-	931284	932174	4
STnc1710		+	932197	932336	137
SL1344_0836		-	932439	932864	12
SL1344_0837	yliI	+	933211	933891	2
SL1344_0838	yliJ	-	933888	934514	26
SL1344_0839	dacC	+	934758	935960	24
SL1344_0840	deoR	-	936005	936763	48
SL1344_0841	ybjG	-	936835	937443	34
SL1344_0842	mdfA	+	937756	938988	27
SL1344_0843		-	939042	939857	18
SL1344_0844		-	939854	941065	14
SL1344_0845		+	941233	941853	6
RybB		-	941893	941815	631
SL1344_0846		-	941970	943655	44
SL1344_0847	ybjM	+	943926	944303	10
SL1344_0848	grxA	-	944335	944598	949
SL1344_0849	ybjC	+	944768	945058	41
SL1344_0850	mdaA	+	945105	945763	16
SL1344_0852	rimK	+	945821	946723	139
SL1344_0853	ybjN	+	946820	947296	41
SL1344_0854	potF	+	947645	948757	9
SL1344_0855	potG	+	948845	949978	8
SL1344_0856	potH	+	949988	950941	8
SL1344_0857	potI	+	950938	951783	9
SL1344_0858	ybjO	+	951857	952330	25
SL1344_0859	rumB	+	952373	953503	21
SL1344_0860		+	953786	955129	1
SL1344_0861		+	955159	955479	1
SL1344_0862		+	955489	956976	3
SL1344_0863	artJ	-	957195	957926	7
SL1344_0864	artM	-	958163	958831	57
SL1344_0865	artQ	-	958831	959547	50
SL1344_0866	artI	-	959554	960285	51
SL1344_0867	artP	-	960303	961031	92
SL1344_0868	ybjP	-	961261	961776	31
SL1344_0869		+	961904	962227	47
SL1344_0870	ybjR	+	962224	963054	22
SL1344_0871		-	963051	964064	30
SL1344_0872	ybjT	-	964160	965593	6
SL1344_0873	ltaA	-	965604	966605	19
SL1344_0874	poxB	-	966644	968362	2
SL1344_0875	hcr	-	968520	969491	13
SL1344_0876	hcp	-	969500	971152	8
SL1344_0877	ybjE	-	971296	972087	16
SL1344_0878	ybjD	+	972397	974055	9
SL1344_0879	ybjX	-	974052	975020	413
SL1344_0880	ybjY	+	975148	976266	30
SL1344_0881	ybjZ	+	976263	978209	24
SL1344_0882	cspD	-	978339	978560	26
SL1344_0883	clpS	+	978884	979204	113
SL1344_0884	clpA	+	979235	981511	59
SL1344_0885	tnp	+	981703	982161	0
STnc490		-	981711	981622	0
SL1344_0886		-	982624	983307	3
SL1344_0887		-	983478	983879	15
SL1344_0888		-	984216	984893	3
SL1344_0889		-	984913	985773	1
SL1344_0890		+	985882	986793	3
SL1344_0891	infA	-	986884	987102	1267
SL1344_0892		-	987030	987359	1510
SL1344_0893	aat	-	987414	988118	27
SL1344_0894	cydC	-	988163	989884	40
SL1344_0895	cydD	-	989885	991651	39
SL1344_0896	trxB	-	991765	992733	96
SL1344_0897	lrp	+	993279	993773	312
SL1344_0898	ftsK	+	993908	997993	70
SL1344_0899	lolA	+	998133	998747	100
SL1344_0900	ycaJ	+	998757	1000100	57
SL1344_0901	serS	+	1000359	1001651	81
SL1344_0902	dmsA	+	1001888	1004332	2
SL1344_0903	dmsB	+	1004343	1004960	1
SL1344_0904	dmsC	+	1004962	1005825	2
SL1344_0905	ycaD	+	1006175	1007323	13
SL1344_0906	ycaM	+	1007541	1008962	12
SL1344_0907	pflA	-	1009255	1010079	45
STnc3310		-	1009379	1009199	186
SL1344_0908		-	1010171	1010497	86
SL1344_0909	sopD2	+	1010628	1011587	15
SL1344_0910	pflB	-	1011663	1013945	60
SL1344_0911	focA	-	1014005	1014862	58
SL1344_0912	ycaO	-	1015267	1017027	59
SL1344_0913	ycaP	+	1017164	1017856	4
SL1344_0914	serC	+	1018042	1019130	35
SL1344_0915	aroA	+	1019201	1020484	28
SL1344_0916	ycaL	+	1020627	1021388	13
SL1344_0917	cmk	+	1021561	1022244	181
SL1344_0918	rpsA	+	1022358	1024031	1675
SL1344_0919	himD	+	1024187	1024471	285
STnc3330		-	1024591	1024493	0
SL1344_0920	rec2	+	1024701	1026965	3
SL1344_0921	msbA	+	1027002	1028750	79
SL1344_0922	lpxK	+	1028747	1029724	61
SL1344_0923	ycaQ	+	1029768	1031000	10
SL1344_0924	ycaR	+	1031052	1031234	116
SL1344_0925	kdsB	+	1031231	1031977	45
SL1344_0926		+	1032188	1033081	6
SL1344_0927	ycbC	-	1033061	1033837	9
SL1344_0928	smtA	+	1033973	1034776	42
SL1344_0929	mukF	+	1034769	1036091	52
SL1344_0930	mukE	+	1036072	1036776	66
SL1344_0931	mukB	+	1036776	1041242	59
SL1344_0932	ycbB	+	1041587	1043428	38
SL1344_0933	ycbK	+	1043688	1044236	91
SL1344_0934	ycbL	+	1044264	1044911	76
SL1344_0935	aspC	-	1044973	1046163	80
SL1344_0936	ompF	-	1046348	1047439	92
STnc3350		+	1047936	1048028	84
SL1344_0937	asnCa	-	1048046	1049446	98
SL1344_0938		-	1049647	1050108	9
SL1344_0939	dpaL	+	1050425	1051639	2
SL1344_0940		+	1051884	1053320	1
SL1344_0941	pncB	-	1053398	1054600	73
SL1344_0942		-	1054795	1056087	66
STnc4200		+	1055773	1055892	193
SL1344_0943		-	1056132	1056380	0
SL1344_0944		-	1056421	1056660	0
SL1344_0945		-	1056703	1057812	0
SL1344_0946	recEa	-	1057823	1060708	0
IsrB-2		-	1060740	1060833	2
IsrB-1		+	1060741	1060835	419
SL1344_0947		-	1060835	1061134	2
SL1344_0948		-	1061156	1061314	1
SL1344_0949		-	1061307	1061567	1
SL1344_0950		-	1061617	1061958	143
SL1344_0951	C1	+	1062352	1062726	1
STnc1080		-	1062806	1062745	1252
SL1344_0952		+	1062811	1063794	1
SL1344_0953		+	1063797	1064546	0
SL1344_0954		+	1064557	1064904	0
SL1344_0955		+	1064901	1065212	9
SL1344_0956		+	1065290	1065580	355
SL1344_0957		+	1065872	1066105	133
SL1344_0958		+	1066521	1067123	4
SL1344_0959	ninG	+	1067332	1067943	0
SL1344_0960		+	1067940	1068086	0
SL1344_0961		+	1068076	1068873	1
SL1344_0962		+	1068940	1069257	167
SL1344_0963		+	1069431	1069556	2
SL1344_0964		-	1069692	1070141	44
SL1344_0965	gtgA	-	1070502	1071188	4
SL1344_0965A		+	1071458	1071793	0
SL1344_0966	nucD	+	1071777	1072229	1
SL1344_0967		+	1072226	1072726	0
SL1344_0968		+	1072934	1073467	3
SL1344_0969		+	1073508	1075562	1
SL1344_0971		+	1075762	1077309	2
SL1344_0972		+	1077233	1079314	1
SL1344_0973		+	1079405	1079728	0
SL1344_0974		+	1079721	1080020	1
SL1344_0975		+	1080001	1080567	1
SL1344_0976		+	1080564	1080965	1
SL1344_0977		+	1081040	1081726	1
SL1344_0978		+	1081772	1082170	1
SL1344_0979		+	1082233	1082496	4
SL1344_0980		+	1082510	1085563	2
SL1344_0981		+	1085560	1085892	2
SL1344_0982		+	1085991	1086488	8
SL1344_0983	sodCa	-	1086605	1087138	17
SL1344_0984		+	1087228	1087923	4
SL1344_0985		+	1087933	1088670	1
SL1344_0986		+	1088568	1089272	2
SL1344_0987		+	1089344	1092694	1
SL1344_0988		+	1093029	1095236	0
SL1344_0989		+	1095236	1095817	1
SL1344_0990		-	1095821	1096036	2
SL1344_0991	sseI	+	1096293	1097261	4
SL1344_0992		+	1097359	1097777	7
SL1344_0993		-	1097909	1098535	1
SL1344_0994		-	1098604	1098903	8
SL1344_0995	gtgE	-	1098888	1099574	31
SL1344_0996	gtgF	-	1099845	1100036	20
SL1344_0997	pepN	+	1100463	1103075	26
SL1344_0998	pyrD	+	1103256	1104293	30
SL1344_0999	ycbW	+	1104459	1105001	40
SL1344_1000		-	1104998	1106107	11
SL1344_1001	rlmL	+	1106206	1108314	45
SL1344_1002	uup	+	1108327	1110234	45
SL1344_1003	pqiA	+	1110249	1111502	42
SL1344_1004	pqiB	+	1111507	1113147	35
SL1344_1005	ymbA	+	1113144	1113707	42
STnc3390		-	1113815	1113731	3
SL1344_1006	rmf	+	1113963	1114130	29
SL1344_1007	fabA	-	1114230	1114748	387
SL1344_1008	lonH	-	1114817	1116403	78
SL1344_1009	ycbG	+	1116763	1117215	77
SL1344_1010	ompA	-	1117287	1118339	731
SL1344_1011	sulA	-	1118696	1119205	51
SL1344_1012	sxy	+	1119422	1120027	3
SL1344_1013	yccS	-	1120014	1122167	15
SL1344_1014	yccF	-	1122186	1122632	9
SL1344_1015	helD	+	1122756	1124810	12
SL1344_1016	mgsA	-	1124846	1125304	23
SL1344_1017	yccT	-	1125399	1126061	2
SL1344_1018		+	1126232	1126648	7
SL1344_1019	yccV	-	1126693	1127010	62
SL1344_1020	yccW	-	1127068	1128279	30
SL1344_1021		+	1128494	1129042	3
SL1344_1022		+	1129068	1129847	9
SL1344_1023	yccX	+	1129896	1130177	5
SL1344_1024	yccK	-	1130174	1130503	109
SL1344_1025	yccA	-	1130590	1131168	71
SL1344_1026	pipA	-	1131870	1132550	19
SL1344_1027	pipB	-	1132772	1133647	2
SL1344_1028		+	1133859	1134185	0
SL1344_1029	pipC	-	1134195	1134536	35
SL1344_1030	sopB	-	1134553	1136238	6
SL1344_1031	orfX	+	1136570	1136740	5
SL1344_1032		-	1136741	1136851	1
SL1344_1033	pipD	-	1136960	1138429	7
SL1344_1034	copS	-	1138602	1139966	7
SL1344_1035	copR	-	1139959	1140705	20
SL1344_1036		+	1140775	1141185	24
SL1344_1037	hpaC	-	1141518	1142030	2
SL1344_1038	hpaB	-	1142048	1143610	2
SL1344_1039	hpaR	-	1143828	1144268	17
SL1344_1040	hpaG	+	1144543	1145832	0
SL1344_1041	hpaE	+	1145829	1147295	0
SL1344_1042	hpaD	+	1147297	1148148	1
SL1344_1043	hpaF	+	1148158	1148538	0
SL1344_1044	hpaH	+	1148681	1149484	1
SL1344_1045	hpaI	+	1149495	1150286	1
SL1344_1046	hpaX	+	1150358	1151734	1
SL1344_1047	hpaA	+	1151744	1152640	1
SL1344_1048		+	1152675	1153592	6
STnc1880		+	1153745	1153841	324
SL1344_1049		-	1154000	1154362	4
STnc3400		+	1154915	1154976	20
SL1344_1050	yccD	-	1155016	1155321	26
SL1344_1051	cbpA	-	1155321	1156241	14
SL1344_1052	scsA	+	1156476	1156838	88
SL1344_1053	scsB	+	1156887	1158773	4
SL1344_1054	scsC	+	1158770	1159393	3
SL1344_1055	scsD	+	1159383	1159889	5
SL1344_1056	agp	+	1160022	1161263	7
SL1344_1057	yccJ	-	1161297	1161524	29
SL1344_1058	wrbA	-	1161545	1162141	12
SL1344_1059	ymdF	+	1162526	1162693	59
SL1344_1060	ycdC	+	1162830	1163468	21
SL1344_1061		-	1163465	1163860	34
SL1344_1062	putA	-	1163919	1167881	5
SL1344_1063	putP	+	1168303	1169811	17
SL1344_1064	phoH	+	1170638	1171492	7
SL1344_1065		-	1171598	1172479	32
STnc500		-	1172641	1172561	95
SL1344_1066		-	1172764	1174260	1
SL1344_1067		-	1174597	1175277	1
SL1344_1068		+	1175783	1176943	1
SL1344_1069		+	1176989	1177681	2
SL1344_1070		+	1177964	1179244	2
SL1344_1071		+	1179255	1180361	19
SL1344_1072	ycdW	+	1181205	1182143	22
SL1344_1073	ycdX	+	1182228	1182965	60
SL1344_1074	ycdY	+	1182989	1183543	24
SL1344_1075	ycdZ	+	1183653	1184126	159
SL1344_1076	csgG	-	1184165	1184911	2
SL1344_1077	csgF	-	1185025	1185441	0
SL1344_1078	csgE	-	1185468	1185863	1
SL1344_1079	csgD	-	1185868	1186518	1
SL1344_1080	csgB	+	1187273	1187728	0
SL1344_1081	csgA	+	1187770	1188225	0
SL1344_1082	csgC	+	1188287	1188613	34
SL1344_1083	ymdA	+	1188744	1189064	20
SL1344_1084		+	1189154	1189693	25
SL1344_1085	ymdC	+	1189629	1191116	16
SL1344_1086	mdoC	-	1191133	1192287	22
SL1344_1087	mdoG	+	1192559	1194094	68
SL1344_1088	mdoH	+	1194087	1196630	55
SL1344_1089	yceK	+	1196704	1196931	12
SL1344_1090	msyB	-	1196932	1197306	12
SL1344_1091	yceE	-	1197388	1198602	5
STnc3040		+	1198646	1198752	18
SL1344_1092	htrB	-	1198757	1199677	42
SL1344_1093	yceA	+	1199897	1200949	108
SL1344_1094	yceI	-	1201001	1201576	9
SL1344_1095	yceJ	-	1201573	1202145	5
SL1344_1096	yceO	-	1202408	1202521	4
SL1344_1097	solA	-	1202562	1203680	12
SL1344_1098	bssS	-	1203793	1204050	225
SL1344_1099	dinI	-	1204337	1204582	283
SL1344_1100	pyrC	-	1204656	1205702	31
SL1344_1101	yceB	-	1205807	1206367	220
SL1344_1102	grxB	-	1206492	1207139	33
SL1344_1103	yceL	-	1207203	1208411	8
SL1344_1104	rimJ	+	1208648	1209232	43
SL1344_1105	yceH	+	1209268	1209915	27
SL1344_1106	mviM	+	1209917	1210840	21
SL1344_1107	mviN	+	1211105	1212679	23
SL1344_1108	flgN	-	1212761	1213183	233
SL1344_1109	flgM	-	1213188	1213481	191
SL1344_1110	flgA	-	1213573	1214232	131
SL1344_1111	flgB	+	1214389	1214805	321
SL1344_1112	flgC	+	1214809	1215213	147
SL1344_1113	flgD	+	1215225	1215923	108
SL1344_1114	flgE	+	1215950	1217161	93
SL1344_1115	flgF	+	1217182	1217937	152
SL1344_1116	flgG	+	1217951	1218733	133
SL1344_1117	flgH	+	1218788	1219486	116
SL1344_1118	flgI	+	1219498	1220595	71
SL1344_1119	flgJ	+	1220595	1221545	62
SL1344_1120	flgK	+	1221610	1223271	126
SL1344_1121	flgL	+	1223286	1224239	117
STnc840		+	1224244	1224316	266
SL1344_1122	rne	-	1224496	1227699	99
SL1344_1123	rluC	+	1228273	1229232	131
SL1344_1124		+	1229388	1230131	24
SL1344_1125		+	1230337	1230561	18
SL1344_1126	maf-a	-	1230633	1231217	12
SraB		+	1231270	1231378	457
SL1344_1127	yceD	+	1231415	1231936	4097
SL1344_1128	rpl32	+	1231988	1232161	4696
SL1344_1129	plsX	+	1232295	1233374	342
SL1344_1130	fabH	+	1233454	1234407	231
SL1344_1131	fabD	+	1234423	1235352	266
SL1344_1132	fabG	+	1235365	1236099	1048
SL1344_1133	acpP	+	1236255	1236491	9088
SL1344_1134	fabF	+	1236577	1237818	505
SL1344_1135	pabC	+	1237942	1238751	55
SL1344_1136	yceG	+	1238820	1239776	33
SL1344_1137	tmk	+	1239766	1240407	44
SL1344_1138	holB	+	1240404	1241408	38
SL1344_1139	ycfH	+	1241419	1242216	40
SL1344_1140	ptsG	+	1242511	1243944	101
SL1344_1141	fhuE	-	1244029	1246203	2
SL1344_1142	ycfF	+	1246545	1246904	67
SL1344_1143	ycfL	+	1246907	1247281	54
SL1344_1144	ycfM	+	1247295	1247933	41
SL1344_1145	thiK	+	1247914	1248738	27
SL1344_1146	nagZ	+	1248749	1249774	17
SL1344_1147	ycfP	+	1249799	1250341	45
SL1344_1148	ndh	+	1250596	1251900	144
SL1344_1149	ycfJ	+	1252079	1252618	12
STnc850		+	1252598	1252673	184
STnc1090		-	1252626	1252560	27
SL1344_1150	ycfQ	-	1252693	1253328	49
SL1344_1151	ycfR	+	1253570	1253827	36
SL1344_1152	ycfS	-	1253924	1254889	7
SL1344_1153	mfd	-	1255037	1258483	18
STnc3410		-	1255077	1254996	147
SL1344_1154	ycfU	+	1258821	1260020	55
SL1344_1155	lolD	+	1260013	1260714	58
SL1344_1156	ycfW	+	1260714	1261958	46
SL1344_1157	ycfX	+	1261987	1262898	64
SL1344_1158	cobB	+	1262917	1263738	77
SL1344_1159	potD	-	1263820	1264866	74
SL1344_1160	potC	-	1264891	1265670	89
SL1344_1161	sifA	-	1265986	1266996	9
SL1344_1162	potB	-	1267325	1268188	43
SL1344_1163	potA	-	1268172	1269308	50
SL1344_1164	pepT	+	1269559	1270788	7
SL1344_1165		+	1270792	1272837	7
SL1344_1166		+	1270948	1271457	0
SL1344_1167	ycfD	-	1272877	1273998	46
SL1344_1168	phoQ	-	1274079	1275542	69
SL1344_1169	phoP	-	1275542	1276216	132
SL1344_1170	purB	-	1276340	1277710	42
SL1344_1171	ycfC	-	1277714	1278361	76
SL1344_1172	mnmA	-	1278442	1279548	158
SL1344_1173	ymfB	-	1279602	1280063	9
SL1344_1174		-	1280075	1280404	7
SL1344_1175	rluB	-	1280401	1281066	29
SL1344_1176	icdA	+	1281238	1282488	192
STnc150		-	1282677	1282521	79
SL1344_1177		+	1282936	1284060	15
SL1344_1179	envF	-	1285042	1285830	2
IsrC		+	1285998	1286285	4
SL1344_1180	msgA	-	1286319	1286558	131
SL1344_1181	envE	-	1286749	1287270	42
SL1344_1182	cspH	-	1287685	1287897	171
SL1344_1183	pagD	-	1288029	1288292	0
SL1344_1184	pagC	+	1289191	1289661	12
STnc3420		-	1289799	1289667	16
STnc520		-	1290674	1290590	352
SL1344_1185	pliC	-	1290898	1291242	132
SL1344_1186		+	1291945	1292217	9
SL1344_1187		+	1292369	1292836	59
STnc1760		-	1292935	1292835	47
STnc1210		+	1292956	1293014	452
SL1344_1188		+	1293175	1294218	8
SL1344_1189		-	1294301	1294831	11
STnc1990		+	1294841	1294974	128
SL1344_1190		-	1294980	1295294	16
STnc3430		-	1295057	1294946	31
SL1344_1191		+	1295976	1297610	5
SL1344_1192		+	1297610	1298584	4
SL1344_1193		+	1298574	1299386	2
SL1344_1194		+	1299380	1300177	4
SL1344_1195		+	1300171	1300761	2
SL1344_1196		-	1300843	1301976	5
SL1344_1197		+	1302170	1302496	13
IsrD		-	1302641	1302591	0
SL1344_1198		+	1302693	1303340	10
STnc3440		+	1303294	1303380	14
SL1344_1199	aadA	+	1303449	1304237	15
SL1344_1200		+	1304382	1304975	8
SL1344_1201		+	1305044	1305892	148
SL1344_1202		-	1306147	1306395	183
SL1344_1203		-	1306474	1306623	7
SL1344_1204	aroQ	+	1306706	1307251	47
SL1344_1205	yeaS	+	1307448	1308086	107
SL1344_1206	yeaR	+	1308259	1308620	15
SL1344_1207	yoaG	+	1308623	1308805	24
SL1344_1208		+	1309035	1309676	5
SL1344_1209		+	1309798	1309983	30
RyhB-2		-	1309937	1309727	103
SL1344_1210	yeaQ	+	1309991	1310239	56
SL1344_1211	yaoF	+	1310672	1310923	10
SL1344_1212		+	1310992	1311303	86
SL1344_1213	yeaO	-	1311289	1311636	30
SL1344_1214	yeaN	-	1311755	1312939	5
SL1344_1215	yeaM	+	1313040	1313834	7
