locus_tag	common gene name	strand	start	end	NonSPI2	InSPI2 (biological replicate 1)	InSPI2 (biological replicate 2)	InSPI2 average (biological replicate 1 and 2)	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_1177		+	1282936	1284060	41	53	41	47	49	6	65
SL1344_1179	envF	-	1285042	1285830	6	3	4	3	4	4	10
IsrC		+	1285998	1286285	6	11	7	9	6	7	8
SL1344_1180	msgA	-	1286319	1286558	195	167	134	151	104	204	232
SL1344_1181	envE	-	1286749	1287270	58	89	83	86	41	3	22
SL1344_1182	cspH	-	1287685	1287897	34	35	42	38	29	0	6
SL1344_1183	pagD	-	1288029	1288292	6	102	83	92	190	48	3
SL1344_1184	pagC	+	1289191	1289661	164	2305	1998	2151	1600	382	88
STnc3420		-	1289799	1289667	22	13	22	18	35	27	32
STnc520		-	1290674	1290590	458	519	471	495	299	692	439
SL1344_1185	pliC	-	1290898	1291242	138	247	270	258	260	104	135
SL1344_1186		+	1291945	1292217	9	14	10	12	45	5	19
SL1344_1187		+	1292369	1292836	99	175	143	159	258	186	1831
STnc1760		-	1292935	1292835	41	57	47	52	67	138	79
STnc1210		+	1292956	1293014	268	353	169	261	250	209	697
SL1344_1188		+	1293175	1294218	14	32	25	29	48	15	10
SL1344_1189		-	1294301	1294831	67	1013	870	942	602	869	496
STnc1990		+	1294841	1294974	138	156	139	148	181	134	348
SL1344_1190		-	1294980	1295294	12	31	25	28	53	4	9
STnc3430		-	1295057	1294946	55	207	118	162	187	139	181
SL1344_1191		+	1295976	1297610	8	5	5	5	7	4	5
SL1344_1192		+	1297610	1298584	5	3	3	3	3	1	4
SL1344_1193		+	1298574	1299386	6	4	4	4	6	1	3
SL1344_1194		+	1299380	1300177	5	3	2	3	4	1	1
SL1344_1195		+	1300171	1300761	3	5	2	4	4	1	1
SL1344_1196		-	1300843	1301976	18	30	29	29	28	9	17
SL1344_1197		+	1302170	1302496	18	48	36	42	67	9	25
IsrD		-	1302641	1302591	0	0	0	0	0	0	1
SL1344_1198		+	1302693	1303340	32	17	14	15	10	4	11
STnc3440		+	1303294	1303380	53	243	235	239	348	18	162
SL1344_1199	aadA	+	1303449	1304237	21	18	20	19	24	7	20
SL1344_1200		+	1304382	1304975	8	10	11	10	26	1	69
SL1344_1201		+	1305044	1305892	58	54	60	57	43	9	58
SL1344_1202		-	1306147	1306395	301	897	829	863	320	23	249
SL1344_1203		-	1306474	1306623	26	10	6	8	10	1	14
SL1344_1204	aroQ	+	1306706	1307251	357	1251	1023	1137	669	63	126
SL1344_1205	yeaS	+	1307448	1308086	189	282	274	278	247	28	102
SL1344_1206	yeaR	+	1308259	1308620	17	21	23	22	28	36	487
SL1344_1207	yoaG	+	1308623	1308805	33	31	35	33	43	75	740
SL1344_1208		+	1309035	1309676	5	6	3	4	5	2	4
SL1344_1209		+	1309798	1309983	78	144	114	129	574	44	357
RyhB-2		-	1309937	1309727	217	12	18	15	10	3256	319
SL1344_1210	yeaQ	+	1309991	1310239	129	237	213	225	817	74	575
SL1344_1211	yaoF	+	1310672	1310923	15	68	75	72	212	87	28
SL1344_1212		+	1310992	1311303	85	83	90	86	153	117	114
SL1344_1213	yeaO	-	1311289	1311636	32	29	22	26	37	31	30
SL1344_1214	yeaN	-	1311755	1312939	8	2	3	3	2	1	2
SL1344_1215	yeaM	+	1313040	1313834	16	7	7	7	12	12	15
SL1344_1216	yeaL	-	1313814	1314260	15	22	24	23	20	6	12
SL1344_1217	yeaK	-	1314570	1315088	12	24	25	24	28	4	7
SL1344_1218	yeaJ	-	1315138	1316631	15	31	27	29	35	2	17
STnc1480		+	1316874	1317268	35	992	818	905	4078	205	61
SL1344_1219	yeaH	-	1317272	1318558	38	62	54	58	105	26	88
SL1344_1220	yeaG	-	1318681	1320465	21	52	44	48	133	41	55
SL1344_1221	mipA	+	1321042	1321788	266	474	408	441	440	88	110
SL1344_1222		+	1322078	1323274	4	4	5	4	7	2	4
SL1344_1223		+	1323371	1324228	18	14	15	14	16	11	20
SL1344_1224	yeaD	-	1324327	1325211	26	43	36	40	41	11	9
SL1344_1224A		-	1325211	1325465	49	49	43	46	26	3	5
SL1344_1225	gapA	-	1325546	1326541	1060	1307	1143	1225	629	170	171
SL1344_1226	yeaA	+	1326853	1327296	232	222	172	197	157	142	137
SL1344_1227	yeaC	+	1327338	1327616	249	237	179	208	157	81	143
SL1344_1228	nam	-	1327968	1328624	29	25	22	24	19	4	10
SL1344_1229	ansA	-	1328651	1329667	34	25	20	22	19	8	13
SL1344_1230	sppA	-	1329763	1331619	36	25	30	27	15	6	11
SL1344_1231	ydjA	+	1331793	1332344	57	38	36	37	36	32	26
SL1344_1232	selD	+	1332462	1333505	47	35	30	33	22	10	27
SL1344_1233	topB	+	1333510	1335459	38	20	19	19	15	6	19
SL1344_1234	gdhA	-	1335489	1336832	112	124	108	116	37	32	118
SL1344_1235		+	1337071	1337346	354	27	28	27	115	202	634
SL1344_1236		-	1337306	1337722	13	11	10	10	8	16	4
SL1344_1237	xthA	-	1337795	1338601	43	39	31	35	32	85	24
SL1344_1238	argDa	+	1339047	1340273	1	2	2	2	2	7	2
SL1344_1239	astA	+	1340264	1341298	1	1	1	1	2	5	3
SL1344_1240	astD	+	1341295	1342773	1	2	1	2	2	3	4
SL1344_1241	astB	+	1342770	1344113	3	3	3	3	5	3	5
SL1344_1242	astE	+	1344106	1345074	1	3	2	3	4	1	4
SL1344_1243		+	1345410	1345895	17	32	35	33	51	9	27
STnc1640		+	1345883	1345970	131	201	137	169	126	118	207
SL1344_1244		-	1345970	1346851	28	18	23	21	20	73	34
SL1344_1245	nadE	-	1346972	1347799	49	76	61	68	69	42	49
SL1344_1246	osmE	+	1348018	1348359	357	385	347	366	607	359	658
SL1344_1247	celA	+	1348660	1348980	21	24	23	24	31	45	18
SL1344_1248	celB	+	1349063	1350421	8	8	8	8	19	6	8
SL1344_1249	celC	+	1350472	1350819	14	25	21	23	37	9	19
SL1344_1250	celD	+	1350908	1351672	11	14	13	14	22	4	16
SL1344_1251	celF	+	1351797	1353152	10	5	5	5	8	4	10
SL1344_1252	celG	+	1353165	1353923	17	14	18	16	18	7	18
STnc2010		+	1353832	1353959	58	64	102	83	97	40	133
SL1344_1253	katE	-	1353967	1356219	14	28	25	26	51	5	15
SL1344_1254	cedA	+	1356584	1356826	33	38	35	37	56	23	25
SL1344_1255	ydjN	-	1356928	1358319	501	287	352	319	232	136	113
SL1344_1256	ydjM	-	1358456	1359055	6	5	6	6	3	10	7
STnc3570		-	1359183	1359017	216	447	228	337	313	543	493
SL1344_1257	yniC	-	1359193	1359861	30	46	46	46	37	15	17
SL1344_1258	yniB	+	1360010	1360546	55	38	45	42	83	35	64
SL1344_1259		-	1360589	1361449	20	27	20	23	33	19	30
SL1344_1260	ydiZ	-	1361556	1361846	28	28	23	25	44	23	33
SL1344_1261	pfkB	-	1361943	1362875	42	46	37	42	50	16	26
SL1344_1262	ydiY	+	1363164	1363922	30	28	26	27	15	7	13
STnc3460		+	1363846	1363967	87	55	81	68	140	179	114
SL1344_1263		-	1363971	1364930	26	52	38	45	43	7	13
STnc4210		-	1363997	1363925	120	406	404	405	566	228	465
SL1344_1264		+	1365073	1365387	21	210	94	152	318	69	16
SL1344_1265		+	1365483	1366238	26	110	104	107	193	60	42
SL1344_1330A		+	1366411	1366617	14	18	12	15	13	6	17
SL1344_1266		-	1366940	1368163	75	41	37	39	41	7	75
SL1344_1267		+	1369055	1370983	318	234	215	224	135	58	155
SL1344_1268		+	1370987	1371529	4912	3651	3536	3593	1649	1346	1058
SL1344_1269		+	1371625	1371822	5015	4066	3840	3953	1063	1121	768
SL1344_1270		+	1371873	1372229	4135	3792	3456	3624	1046	1101	693
SL1344_1271		+	1372531	1373514	122	91	86	89	28	22	18
SL1344_1272		+	1373530	1375917	207	205	203	204	167	84	90
SL1344_1273		+	1375910	1376221	940	1126	1116	1121	1121	583	897
STnc540		+	1376271	1376364	349	853	578	715	409	362	489
SL1344_1274		+	1376424	1377404	24	13	16	15	15	2	7
SL1344_1275		+	1377496	1378047	26	40	34	37	57	5	22
SL1344_1276		+	1378047	1378796	13	14	12	13	22	1	7
SL1344_1277		+	1378873	1379337	92	131	113	122	114	37	103
SL1344_1278		+	1379651	1380364	31	51	53	52	55	3	36
SL1344_1279		+	1380426	1381868	49	32	32	32	51	17	41
SL1344_1280	ydiE	-	1381903	1382094	189	15	10	13	5	642	35
SL1344_1281	aroH	-	1382251	1383297	51	53	54	53	47	14	36
SL1344_1282	ydiA	-	1383453	1384286	19	17	16	16	23	9	26
SL1344_1283	pps	+	1384581	1387001	108	144	123	134	48	51	136
SL1344_1284	ydiD	-	1387043	1388683	5	5	4	4	6	3	4
SL1344_1285	ydiT	-	1388773	1389066	2	3	1	2	3	1	3
SL1344_1286	ydiS	-	1389063	1390349	1	2	2	2	2	1	1
SL1344_1287	ydiR	-	1390406	1391341	21	34	34	34	14	1	3
SL1344_1288	ydiQ	-	1391363	1392127	1	0	1	1	0	0	0
SL1344_1289	ydiP	+	1392590	1393480	2	3	2	3	2	1	2
SL1344_1290	ydiO	-	1393556	1394707	15	11	8	9	14	11	19
SL1344_1291	ydiF	-	1394721	1396316	2	1	1	1	2	1	2
SL1344_1292	aroD	-	1396470	1397228	24	27	22	24	16	11	23
SL1344_1293	aroE	-	1397273	1398139	10	11	8	9	9	8	12
SL1344_1294	ydiN	-	1398221	1399440	0	0	0	0	0	0	1
SL1344_1296	ydiM	-	1399804	1401015	2	2	2	2	2	3	4
SL1344_1297	ydiL	-	1401156	1401515	1	4	2	3	2	0	3
RprA		-	1401790	1401682	3951	1579	1824	1702	1138	2292	2038
SL1344_1298	ydiK	-	1401973	1403091	20	19	18	18	22	12	23
SL1344_1299	ydiJ	+	1403356	1406412	66	47	44	45	31	12	18
SL1344_1300		+	1406409	1406819	65	66	48	57	40	9	19
SL1344_1301	ydiH	+	1406918	1407106	360	501	509	505	496	354	208
RydB		+	1407278	1407371	650	648	604	626	891	485	785
SL1344_1302		-	1407394	1408740	14	10	11	10	11	5	7
SL1344_1303	sufA	+	1409167	1409535	39	16	11	14	21	1231	15
SL1344_1304	sufB	+	1409544	1411031	38	12	9	10	19	237	12
SL1344_1305	sufC	+	1411048	1411794	30	15	10	12	22	185	18
SL1344_1306	sufD	+	1411769	1413040	38	16	13	15	21	107	21
SL1344_1307	sufS	+	1413037	1414257	25	11	9	10	17	20	15
SL1344_1308	ynhA	+	1414270	1414686	25	12	11	11	16	16	20
SL1344_1309	ynhG	+	1414841	1415842	24	28	28	28	65	24	44
SL1344_1310	lppB	-	1415909	1416148	15	34	39	36	29	12	13
SL1344_1311	lpp	-	1416231	1416467	19968	28041	28705	28373	25942	22362	16580
SL1344_1312	pykF	-	1416778	1418136	87	117	96	106	165	17	33
SL1344_1313	orf48	-	1418592	1419935	3	3	3	3	5	2	4
SL1344_1314	orf32	-	1419957	1420850	2	1	1	1	1	1	2
SL1344_1315	orf245	-	1420909	1421646	2	2	1	1	1	1	2
SL1344_1316	orf408	-	1421658	1422884	1	1	1	1	1	0	1
SL1344_1317	ttrA	-	1423207	1426269	1	1	1	1	2	1	1
SL1344_1318	ttrC	-	1426262	1427284	1	1	1	1	1	0	1
SL1344_1319	ttrB	-	1427285	1428037	0	2	1	1	1	1	1
SL1344_1320	ttrS	+	1428201	1429979	17	11	9	10	10	5	9
SL1344_1321	ttrR	+	1429936	1430574	14	9	9	9	10	2	8
SL1344_1322	orf70	+	1430672	1430884	135	51	56	53	36	13	34
SL1344_1323	orf319	-	1430980	1431939	54	32	31	32	82	27	102
SL1344_1324	orf242	-	1432112	1432840	23	104	96	100	92	11	25
SL1344_1325	ssrB	-	1433019	1433657	24	449	386	417	479	86	66
SL1344_1326	spiR	-	1433688	1436450	7	151	131	141	252	49	28
SL1344_1327	ssaB	+	1436851	1437252	1	575	501	538	493	56	52
SL1344_1328	ssaC	+	1437254	1438747	2	405	364	384	242	7	40
SL1344_1329	ssaD	+	1438728	1439939	7	496	439	468	229	6	33
SL1344_1330	ssaE	+	1439947	1440189	16	2972	2437	2705	3892	2093	452
SL1344_1331	sseA	+	1440510	1440779	14	2971	2108	2540	2473	943	377
SL1344_1332	sseBa	+	1440786	1441376	18	2455	1833	2144	1584	625	228
SL1344_1333	sscA	+	1441373	1441846	13	1307	1018	1162	1000	194	137
SL1344_1334	sseC	+	1441849	1443303	15	1487	1081	1284	1489	182	204
SL1344_1335	sseD	+	1443319	1443906	8	957	709	833	776	52	107
SL1344_1336	sseE	+	1443909	1444325	8	750	567	659	528	20	67
SL1344_1337	sscB	+	1444377	1444811	12	818	604	711	917	22	125
SL1344_1338	sseF	+	1444827	1445609	6	203	162	183	157	3	36
SL1344_1339	sseG	+	1445606	1446295	6	142	119	130	104	11	29
SL1344_1340	ssaG	+	1446389	1446604	10	3394	3244	3319	3587	1060	625
SL1344_1341	ssaH	+	1446645	1446872	6	2488	2497	2492	2318	507	448
SL1344_1342	ssaI	+	1446884	1447132	7	2163	2147	2155	1837	341	336
SL1344_1343	ssaJ	+	1447129	1447878	6	1785	1748	1766	1401	165	249
SL1344_1344		+	1447896	1448444	8	939	923	931	669	44	127
SL1344_1345	ssaK	+	1448441	1449115	4	1069	773	921	736	36	143
STnc1220		-	1448790	1448718	4	17	15	16	104	17	73
SL1344_1346	ssaL	+	1449081	1450097	11	970	753	862	568	26	113
SL1344_1347	ssaM	+	1450155	1450523	6	1205	1121	1163	963	67	153
SL1344_1348	ssaV	+	1450508	1452553	5	401	382	391	344	4	60
SL1344_1349	ssaN	+	1452543	1453844	10	478	426	452	352	7	42
SL1344_1350	ssaO	+	1453847	1454224	17	480	368	424	258	3	37
SL1344_1351	ssaP	+	1454205	1454579	16	446	320	383	307	7	42
SL1344_1352	ssaQ	+	1454560	1455528	13	274	228	251	183	7	26
SL1344_1353	ssaR	+	1455596	1456243	7	1169	1134	1152	1303	239	155
SL1344_1354	ssaS	+	1456240	1456506	3	538	486	512	484	9	65
SL1344_1355	ssaT	+	1456507	1457286	5	583	596	590	643	5	107
SL1344_1356	ssaU	+	1457283	1458341	4	222	218	220	163	4	39
SL1344_1357	norM	-	1458814	1460187	17	20	17	19	27	4	19
SL1344_1358	ribE	+	1460404	1461045	65	150	113	132	131	27	50
SL1344_1359	cfa	-	1461087	1462235	158	169	157	163	235	44	209
SL1344_1360	ydhC	-	1462525	1463730	5	6	6	6	5	3	20
SL1344_1361	ydhB	+	1463843	1464775	10	6	7	7	8	9	8
SL1344_1362	purR	-	1464772	1465797	111	61	64	62	21	8	6
STnc4220		-	1464870	1464776	1016	962	1218	1090	513	592	238
SL1344_1362A	ynhF	+	1466093	1466182	1455	3628	3257	3443	5483	2935	2050
SL1344_1363	sodB	-	1466265	1466846	139	342	360	351	393	88	62
SL1344_1364	ydhO	-	1466973	1467827	37	49	48	48	57	3	29
SL1344_1365	ydhD	+	1468129	1468476	1040	698	697	698	542	317	360
SL1344_1366	rnt	-	1468554	1469201	83	61	55	58	54	11	35
SL1344_1367	gloA	-	1469302	1469709	154	130	126	128	144	123	145
SL1344_1368	nemA	-	1469778	1470875	12	12	12	12	14	3	23
SL1344_1369	ydhM	-	1470934	1471533	17	21	17	19	32	42	63
SL1344_1370	ydhL	+	1471636	1471875	19	61	38	49	173	40	86
SL1344_1371	ydhF	+	1471926	1472822	27	19	23	21	20	10	22
SL1344_1372	sodCb	+	1472902	1473423	37	57	45	51	107	24	45
SL1344_1373		-	1473399	1475438	9	8	8	8	10	1	4
SL1344_1374	ydhJ	-	1475438	1476334	16	15	15	15	16	2	10
SL1344_1375	ydhI	-	1476301	1476537	18	16	17	16	26	5	14
SL1344_1376	slyA	+	1476732	1477172	188	385	393	389	704	96	175
SL1344_1377	slyB	-	1477220	1477687	856	1200	1233	1216	686	291	325
SL1344_1378	anmK	+	1477959	1479080	15	17	19	18	16	6	10
SL1344_1379	mliC	+	1479168	1479497	51	55	50	52	36	22	48
SL1344_1380	pdxH	+	1479556	1480212	69	81	76	79	70	14	43
SL1344_1381	tyrS	+	1480339	1481613	169	146	135	140	70	29	45
SL1344_1382	pdxY	+	1481673	1482533	40	46	45	46	24	5	11
SL1344_1383	gst	-	1482592	1483197	58	40	37	38	59	22	46
SL1344_1384	tppB	-	1483302	1484807	9	10	10	10	48	5	12
SL1344_1385	nth	-	1485409	1486044	62	57	60	59	60	15	39
SL1344_1386	rnfE	-	1486044	1486736	57	54	59	57	33	14	16
SL1344_1387	rnfG	-	1486739	1487359	52	41	39	40	25	10	10
SL1344_1388	rnfD	-	1487363	1488421	39	28	31	29	17	3	5
SL1344_1389	rnfC	-	1488422	1490629	55	42	39	40	20	3	10
SL1344_1390	rnfB	-	1490622	1491200	91	71	78	75	43	6	28
SL1344_1391	rnfA	-	1491200	1491781	123	77	87	82	50	7	31
SL1344_1392	ydgK	-	1491858	1492298	136	138	156	147	113	35	47
SL1344_1393	ydgT	-	1492387	1492617	220	309	301	305	189	10	72
SL1344_1393A	blr	-	1492900	1493025	314	197	229	213	189	12	137
SL1344_1394	ydgJ	+	1493233	1494273	54	70	63	67	63	22	35
SL1344_1395	add	-	1494348	1495349	46	32	35	33	27	11	14
STnc3500		+	1495398	1495512	17	35	23	29	74	88	69
SL1344_1396	ydgA	-	1496053	1497561	58	54	50	52	36	17	19
SL1344_1397	manA	-	1497664	1498839	48	49	42	46	38	6	23
SL1344_1398	fumA	+	1499039	1500685	77	44	40	42	23	27	30
SL1344_1400	fumC	+	1500853	1502256	41	36	30	33	41	15	27
SL1344_1401	tus	-	1502253	1503182	13	6	8	7	7	8	8
SL1344_1402	rstB	-	1503258	1504559	16	12	13	12	8	1	4
SL1344_1403		-	1504670	1506376	1	2	2	2	3	1	2
SL1344_1404	ompN	-	1506529	1507662	4	5	4	4	2	2	5
STnc3510		-	1506596	1506482	84	69	66	68	39	30	78
SL1344_1405	rstA	-	1508142	1508873	334	380	396	388	296	50	144
SL1344_1406	ydgC	+	1509000	1509335	35	9	10	9	10	1	25
SL1344_1407	ydgI	-	1509397	1510779	8	8	8	8	13	2	5
SL1344_1408	ydgH	-	1511078	1512022	113	100	97	98	65	26	57
SL1344_1409	pntA	+	1512549	1514078	157	66	62	64	23	19	28
SL1344_1410	pntB	+	1514089	1515477	162	68	65	66	23	26	32
SL1344_1411	tqsA	-	1515652	1516686	11	9	8	8	12	4	16
SL1344_1412	ydgF	+	1517104	1517466	34	3	2	3	10	1	9
SL1344_1413	ydgE	+	1517453	1517782	13	2	2	2	1	1	2
SL1344_1414		-	1517822	1518643	13	15	12	13	18	14	23
SL1344_1414A	ydgU	-	1518743	1518826	3	36	49	43	7	0	2
SL1344_1415	asr	-	1518912	1519196	26	1936	1386	1661	210	120	53
STnc3480		+	1519287	1519547	28	24	23	23	23	12	23
SL1344_1416	ynfM	-	1519555	1520808	13	16	18	17	21	5	67
SL1344_1417	ynfL	+	1520928	1521827	10	6	6	6	7	3	10
SL1344_1418	mlc	+	1521955	1523175	88	52	56	54	48	27	71
SL1344_1419	bioDb	+	1523301	1523996	29	17	19	18	18	7	19
SL1344_1420	clcB	-	1523952	1525241	8	8	8	8	13	5	11
SL1344_1421		-	1525377	1526525	9	14	16	15	34	4	12
SL1344_1422		-	1526525	1527172	6	8	6	7	13	4	6
SL1344_1423		-	1527182	1528084	3	6	4	5	7	1	3
SL1344_1424		-	1528113	1528823	4	8	6	7	18	4	7
SL1344_1425	ynfI	-	1529128	1529742	30	26	26	26	22	10	17
SL1344_1426		-	1529785	1530642	16	17	13	15	20	13	11
SL1344_1427		-	1530644	1531261	0	1	1	1	1	0	0
SL1344_1428	dmsA2	-	1531272	1533707	2	1	1	1	2	1	1
SL1344_1429	dmsA1	-	1533806	1536247	3	2	1	2	3	2	2
SL1344_1430	ynfD	-	1536401	1536709	50	45	46	46	80	38	36
SL1344_1431	ynfC	+	1536804	1537523	34	28	24	26	25	32	45
SL1344_1432	speG	-	1537564	1538124	107	63	56	59	58	42	61
SL1344_1433	ynfB	-	1538160	1538501	98	82	62	72	72	65	47
SL1344_1434	ynfA	+	1538654	1538980	10	11	10	10	6	5	10
SL1344_1435	rspA	+	1539102	1540316	2	1	1	1	1	0	1
SL1344_1436	rspB	+	1540327	1541346	3	2	1	1	2	1	1
SL1344_1437	ydfJ	+	1541400	1542779	3	3	2	3	4	2	5
SL1344_1438	ydfI	+	1542923	1544389	8	13	12	12	14	4	9
SL1344_1439	ydfZ	-	1544456	1544659	18	26	39	33	33	19	20
SL1344_1440	ydfH	-	1544840	1545526	41	46	40	43	46	11	30
SL1344_1441	ydfG	-	1545656	1546402	138	188	156	172	191	80	102
SL1344_1442	dcp	+	1546541	1548583	22	25	23	24	19	10	12
SL1344_1443		+	1548928	1549110	60	130	118	124	342	36	82
SL1344_1444	ydeJ	-	1549230	1549757	7	9	9	9	16	4	10
SL1344_1445	ydeI	+	1550184	1550576	16	30	28	29	71	10	19
MgrR		+	1550746	1550844	12849	12184	11667	11926	12656	14556	12687
SL1344_1446	ydeE	-	1551267	1552454	11	6	8	7	10	3	17
SL1344_1447	ydeD	+	1552682	1553584	21	13	13	13	11	3	17
SL1344_1448	marB	-	1553703	1553918	5	8	8	8	9	2	18
STnc2170		-	1553737	1553669	69	50	45	47	131	80	294
SL1344_1449	marA	-	1553947	1554336	9	9	11	10	14	2	24
SL1344_1450	marR	-	1554350	1554784	12	7	9	8	18	2	40
SL1344_1451	marC	+	1555043	1555708	45	86	92	89	144	29	43
SL1344_1452	sotB	-	1555755	1556945	29	35	37	36	54	8	36
SL1344_1453	yneJ	-	1557061	1557933	7	7	5	6	6	3	8
SL1344_1454	yneI	+	1558036	1559424	5	6	5	5	4	24	5
SL1344_1455	yneH	+	1559497	1560423	23	14	15	15	8	12	5
SL1344_1456	yneG	+	1560423	1560782	20	13	6	10	14	10	11
SL1344_1457		+	1561039	1561953	77	77	74	76	84	9	79
SL1344_1458		-	1562009	1562551	5	6	7	6	9	6	7
SL1344_1459		+	1563370	1564386	7	6	8	7	7	3	8
STnc3530		+	1564332	1564503	107	78	83	80	57	43	47
SL1344_1460	hypA	-	1564527	1564868	3	10	7	8	12	1	4
SL1344_1461		-	1564881	1565768	5	9	9	9	12	2	5
SL1344_1462	hyaF2	-	1565756	1566817	9	16	11	14	14	5	7
SL1344_1463	hyaE2	-	1566835	1567245	7	14	11	13	16	1	4
SL1344_1464		-	1567242	1567541	5	10	9	10	10	2	2
SL1344_1465	hyaD2	-	1567541	1568149	11	17	11	14	18	3	7
SL1344_1466	hyaC2	-	1568155	1568898	9	18	15	16	14	4	7
SL1344_1467	hyaB2	-	1568849	1570651	4	12	10	11	16	3	4
SL1344_1468	hyaA2	-	1570654	1571757	3	14	13	14	18	2	3
SL1344_1469		+	1572186	1573277	5	28	25	27	35	9	7
SL1344_1470		+	1573443	1574114	66	53	60	56	62	63	92
SL1344_1471		-	1574173	1575198	4	20	18	19	16	2	4
SL1344_1472		-	1575173	1576459	3	12	11	11	11	2	2
SL1344_1473	pqaA	-	1576636	1578192	5	55	39	47	65	6	9
SL1344_1474		-	1578262	1579503	4	6	7	7	14	2	4
SL1344_1475		-	1579493	1581001	2	1	2	2	1	0	0
SL1344_1476		+	1581046	1581534	31	27	20	24	23	36	36
SL1344_1477		+	1581727	1582806	25	235	181	208	768	20	37
SL1344_1478		-	1582858	1583247	34	29	30	29	16	5	18
SL1344_1479		-	1583418	1583702	58	33	36	35	37	62	72
SL1344_1480		-	1583692	1583940	108	89	64	77	96	186	156
SL1344_1481		+	1584297	1584629	5	6	5	5	9	4	14
SL1344_1482		+	1584772	1585680	12	9	8	8	13	4	20
SL1344_1483		-	1585908	1586495	1	1	1	1	1	0	1
IsrF		-	1587013	1586724	23	25	20	23	18	27	27
SL1344_1484		-	1587258	1588724	34	19	19	19	16	7	51
SL1344_1485		+	1588983	1589990	12	7	7	7	7	2	7
SL1344_1486		+	1590134	1591585	4	4	3	3	4	2	2
SL1344_1487		+	1591598	1592800	6	5	4	5	6	3	6
SL1344_1488		-	1592913	1594988	12	26	25	26	44	7	9
SL1344_1489		-	1595045	1597573	6	16	14	15	24	2	5
SL1344_1490		-	1597570	1599354	7	16	15	15	22	2	4
SL1344_1491		-	1599483	1600268	4	11	11	11	19	4	6
SL1344_1492	hdeB	-	1600411	1600740	25	23	19	21	29	17	64
SL1344_1493	osmC	-	1601090	1601521	31	100	91	95	242	23	55
SL1344_1494	yddX	+	1602034	1602249	39	52	63	57	130	17	50
SL1344_1495	rpsV	+	1602344	1602487	470	964	1240	1102	2798	869	709
SL1344_1496	sfcA	+	1602664	1604361	40	39	38	38	46	7	21
SL1344_1497	adhP	+	1604728	1605657	26	88	69	78	105	23	16
SL1344_1498	fdnI	-	1605748	1606389	6	5	7	6	6	3	4
STnc3540		-	1605912	1605727	140	201	166	183	145	67	80
SL1344_1499	fdnH	-	1606397	1607281	5	3	4	3	3	2	3
SL1344_1500	fdnG	-	1607295	1610342	8	5	4	4	4	1	3
SL1344_1502	yddG	+	1610677	1611501	7	4	5	4	2	1	2
SL1344_1503	ompD	+	1611987	1613114	1841	178	177	177	17	123	30
SL1344_1504		+	1613198	1613638	23	2	5	4	1	1	1
SL1344_1505	smvA	-	1613663	1615150	11	9	8	8	11	2	5
SL1344_1506		+	1615267	1615845	74	47	74	61	105	52	73
SL1344_1507	narU	+	1616060	1617448	2	7	5	6	41	1	14
SL1344_1508	narZ	+	1617540	1621280	3	7	7	7	31	1	4
SL1344_1509	narY	+	1621277	1622821	2	7	6	7	27	2	2
SL1344_1510	narW	+	1622821	1623516	4	9	8	8	41	2	3
SL1344_1511	narV	+	1623513	1624193	7	13	15	14	48	6	8
SL1344_1512	yddE	+	1624299	1625192	15	13	12	13	13	4	6
SL1344_1513	nhoA	-	1625228	1626073	12	13	15	14	15	2	8
SL1344_1514	steA	-	1626357	1626989	33	125	112	119	649	600	91
SL1344_1515	ansP	+	1627502	1628995	43	14	13	13	11	6	4
SL1344_1516		-	1629072	1629293	11	7	3	5	4	5	9
SL1344_1517		-	1629438	1630499	71	12	11	12	7	19	17
SL1344_1518	yncD	+	1630763	1632883	6	9	9	9	16	2	8
SL1344_1519	yncC	-	1632950	1633615	9	8	12	10	15	5	19
SL1344_1520	yncB	-	1633949	1634986	31	62	56	59	125	13	33
SL1344_1521	yncA	+	1635198	1635713	31	25	25	25	17	21	30
SL1344_1522	ydcZ	+	1635713	1636162	30	20	22	21	25	22	41
SL1344_1523	ydcY	-	1636167	1636400	55	51	66	59	75	55	33
SL1344_1524	srfA	+	1636624	1637943	84	10	12	11	13	5	5
SL1344_1525	srfB	+	1637948	1640929	53	7	7	7	9	6	4
SL1344_1526	srfC	+	1640926	1643070	50	10	10	10	13	6	8
SL1344_1527	ydcX	-	1643115	1643378	27	29	27	28	39	31	42
STnc1110		+	1643465	1643658	288	273	274	274	693	130	326
SL1344_1528	ydcW	-	1643687	1645132	16	71	64	67	142	7	21
SL1344_1529	ydcR	-	1645247	1646671	22	84	75	79	136	8	12
SL1344_1530	pdgL	-	1646807	1647577	25	156	138	147	216	23	20
SL1344_1530A		-	1647836	1648066	35	654	679	666	1046	88	46
SL1344_1531	ugtL	-	1648099	1648497	64	1336	1240	1288	2271	219	87
SL1344_1532	sifB	+	1649034	1649984	5	692	802	747	339	17	88
SL1344_1533	yncJ	+	1650258	1650488	9	459	469	464	146	18	44
SL1344_1534	ydcP	-	1650489	1652453	35	17	19	18	13	3	13
SL1344_1535	ydcN	-	1652532	1653068	24	19	18	18	14	17	38
SL1344_1536		+	1653159	1654337	28	21	24	22	11	4	66
SL1344_1537		-	1654391	1655059	86	51	41	46	67	44	83
