locus_tag	common gene name	strand	start	end	EEP	MEP	LEP	ESP (biological replicate 1)	ESP (biological replicate 2)	ESP average (biological replicate 1 and 2)	LSP (biological replicate 1)	LSP (biological replicate 2)	LSP average (biological replicate 1 and 2)
SL1344_0786		+	874842	875402	2	2	2	2	1	1	1	1	1
SL1344_0787	ybhN	-	875405	876367	2	3	8	8	7	7	8	6	7
SL1344_0788	ybhO	-	876367	877608	1	1	6	7	9	8	5	4	4
SL1344_0789	ybhP	-	877605	878363	2	2	7	9	9	9	16	7	11
SL1344_0790	ybhQ	+	878496	878906	110	96	169	252	157	204	313	143	228
SL1344_0791	ybhR	-	878868	879974	11	18	17	13	14	13	3	3	3
SL1344_0792	ybhS	-	880090	881220	13	12	16	17	16	17	1	2	2
SL1344_0793	ybhF	-	881213	882949	11	15	14	13	16	15	1	1	1
SL1344_0794		-	882942	883937	13	13	13	17	20	19	3	3	3
SL1344_0795	ybiH	-	883937	884611	21	19	18	21	20	20	9	3	6
SL1344_0796	rhlE	+	884841	886205	33	22	8	2	2	2	0	0	0
SL1344_0797	dinG	+	886512	888557	27	26	16	8	10	9	1	1	1
SL1344_0798	ybiB	+	888587	889561	24	25	17	15	18	17	4	4	4
STnc980		-	889714	889558	53	55	22	27	23	25	48	65	56
SL1344_0799	ybiJ	-	889717	889977	23	23	5	4	3	3	6	3	4
SL1344_0800	ybiI	-	890262	890528	15	12	24	46	40	43	61	54	57
SL1344_0801	ybiN	+	890733	891665	30	13	12	5	7	6	1	1	1
SL1344_0802	ybiO	-	891662	893884	10	9	7	6	7	7	4	3	3
SL1344_0803	glnQ	-	894003	894725	154	346	139	54	44	49	3	3	3
SL1344_0804	glnP	-	894722	895381	118	268	91	45	29	37	2	2	2
SL1344_0805	glnH	-	895525	896271	281	824	189	157	104	131	17	12	15
SL1344_0806	dps	-	896748	897251	59	121	472	1682	1497	1589	398	331	364
SL1344_0807	ybiF	-	897554	898441	17	16	19	9	9	9	1	1	1
SL1344_0808	ompX	+	898795	899310	1127	889	426	376	401	389	329	343	336
SL1344_0809	ybiP	-	899373	900953	41	18	20	11	13	12	2	2	2
RybA		-	901397	901301	523	317	829	711	493	602	2753	1970	2362
SL1344_0810		+	901532	902005	98	66	73	32	33	32	2	2	2
SL1344_0811	ybiR	+	902002	903114	28	26	25	12	14	13	1	1	1
SL1344_0812	ybiS	-	903158	904078	98	88	65	29	37	33	5	5	5
SL1344_0813	ybiT	+	904297	905889	83	29	38	18	25	21	5	4	4
SL1344_0814		+	906498	907241	5	1	3	3	2	3	3	2	2
SL1344_0815	ybiV(2)	-	907270	907800	1	0	1	1	2	2	1	1	1
SL1344_0817	ybiU	-	908194	909459	1	2	6	2	2	2	2	1	1
SL1344_0818	ybiV(1)	+	909721	910530	97	99	44	18	19	19	5	3	4
SL1344_0819	pflF	-	910608	913040	1	1	1	1	1	1	0	0	0
SL1344_0820	pflE	-	913046	913945	0	0	0	1	1	1	0	0	0
SL1344_0821	moeB	-	914223	914972	34	36	21	9	12	10	1	1	1
SL1344_0822	moeA	-	914972	916213	27	25	18	10	11	10	1	1	1
SL1344_0823	ybiK	+	916410	917351	33	35	47	53	47	50	3	4	3
SL1344_0824	yliA	+	917362	919233	24	27	35	32	31	31	1	1	1
SL1344_0825	yliB	+	919266	920804	18	20	26	24	24	24	1	1	1
SL1344_0826	yliC	+	920865	921785	15	14	23	15	18	16	1	1	1
SL1344_0827	yliD	+	921788	922699	14	20	27	19	25	22	1	1	1
SL1344_0828	rimO	-	922790	924115	81	44	38	10	13	11	1	1	1
SL1344_0829	bssR	+	924346	924729	8	11	19	77	75	76	248	253	250
STnc1200		-	924838	924769	430	1036	824	2791	2608	2699	166	122	144
SL1344_0830		+	925442	925957	2	2	3	2	1	2	5	3	4
SL1344_0831		+	925875	926729	2	2	2	4	3	3	1	1	1
SL1344_0832		+	926740	927687	3	2	2	2	2	2	66	24	45
SL1344_0833		+	927981	929144	11	9	9	11	11	11	11	6	9
SL1344_0834		+	929593	931278	7	3	3	3	2	3	4	2	3
SL1344_0835		-	931284	932174	11	9	9	10	11	10	8	4	6
STnc1710		+	932197	932336	73	76	109	236	171	204	832	639	736
SL1344_0836		-	932439	932864	12	12	16	20	17	18	13	12	12
SL1344_0837	yliI	+	933211	933891	4	4	4	4	5	5	1	1	1
SL1344_0838	yliJ	-	933888	934514	27	26	28	38	30	34	5	3	4
SL1344_0839	dacC	+	934758	935960	23	22	41	44	44	44	9	7	8
SL1344_0840	deoR	-	936005	936763	78	72	67	28	27	27	4	3	4
SL1344_0841	ybjG	-	936835	937443	39	38	47	27	23	25	3	3	3
SL1344_0842	mdfA	+	937756	938988	30	19	20	9	9	9	1	1	1
SL1344_0843		-	939042	939857	26	23	17	15	11	13	5	4	4
SL1344_0844		-	939854	941065	20	15	9	5	5	5	1	1	1
SL1344_0845		+	941233	941853	10	9	7	5	5	5	4	2	3
RybB		-	941893	941815	429	581	411	316	362	339	5207	4427	4817
SL1344_0846		-	941970	943655	62	42	30	15	19	17	3	2	3
SL1344_0847	ybjM	+	943926	944303	9	8	12	7	7	7	3	3	3
SL1344_0848	grxA	-	944335	944598	656	783	592	481	415	448	25	19	22
SL1344_0849	ybjC	+	944768	945058	37	33	40	22	23	22	4	4	4
SL1344_0850	mdaA	+	945105	945763	20	22	21	15	16	15	2	2	2
SL1344_0852	rimK	+	945821	946723	80	79	72	49	41	45	9	6	8
SL1344_0853	ybjN	+	946820	947296	50	52	37	20	17	18	1	1	1
SL1344_0854	potF	+	947645	948757	19	5	11	5	3	4	3	3	3
SL1344_0855	potG	+	948845	949978	12	6	11	5	4	4	3	2	2
SL1344_0856	potH	+	949988	950941	12	8	10	4	4	4	1	1	1
SL1344_0857	potI	+	950938	951783	9	10	13	6	5	6	2	2	2
SL1344_0858	ybjO	+	951857	952330	32	30	34	20	33	26	6	21	13
SL1344_0859	rumB	+	952373	953503	52	28	20	6	7	6	1	1	1
SL1344_0860		+	953786	955129	3	1	2	1	2	1	3	2	2
SL1344_0861		+	955159	955479	4	2	3	4	4	4	3	1	2
SL1344_0862		+	955489	956976	5	4	5	5	5	5	1	1	1
SL1344_0863	artJ	-	957195	957926	13	7	7	6	5	5	3	2	2
SL1344_0864	artM	-	958163	958831	109	62	75	42	42	42	3	3	3
SL1344_0865	artQ	-	958831	959547	86	52	69	28	41	34	4	3	3
SL1344_0866	artI	-	959554	960285	111	65	97	48	59	53	5	3	4
SL1344_0867	artP	-	960303	961031	250	105	123	61	73	67	20	19	19
SL1344_0868	ybjP	-	961261	961776	24	41	40	42	64	53	32	41	37
SL1344_0869		+	961904	962227	44	55	59	58	59	58	17	14	15
SL1344_0870	ybjR	+	962224	963054	21	30	27	29	33	31	4	3	3
SL1344_0871		-	963051	964064	32	33	32	13	16	15	2	1	1
SL1344_0872	ybjT	-	964160	965593	8	15	12	13	14	13	1	1	1
SL1344_0873	ltaA	-	965604	966605	17	30	36	59	47	53	42	32	37
SL1344_0874	poxB	-	966644	968362	2	2	7	13	10	11	13	9	11
SL1344_0875	hcr	-	968520	969491	17	13	19	15	13	14	7	5	6
SL1344_0876	hcp	-	969500	971152	8	8	6	4	5	4	3	1	2
SL1344_0877	ybjE	-	971296	972087	21	23	27	20	21	20	4	3	4
SL1344_0878	ybjD	+	972397	974055	10	12	20	22	25	23	3	2	3
SL1344_0879	ybjX	-	974052	975020	574	266	287	119	122	121	24	14	19
SL1344_0880	ybjY	+	975148	976266	39	29	36	35	40	38	4	2	3
SL1344_0881	ybjZ	+	976263	978209	32	28	30	35	39	37	4	3	4
SL1344_0882	cspD	-	978339	978560	40	100	713	1631	1676	1654	159	199	179
SL1344_0883	clpS	+	978884	979204	156	136	167	198	169	184	59	34	47
SL1344_0884	clpA	+	979235	981511	79	83	93	98	105	101	14	12	13
SL1344_0885	tnp	+	981703	982161	0	0	0	0	0	0	0	0	0
STnc490		-	981711	981622	0	0	0	0	0	0	0	0	0
SL1344_0886		-	982624	983307	5	2	3	4	4	4	6	5	5
SL1344_0887		-	983478	983879	25	14	9	5	5	5	5	4	5
SL1344_0888		-	984216	984893	3	4	8	10	11	11	13	9	11
SL1344_0889		-	984913	985773	1	2	5	4	5	4	3	4	3
SL1344_0890		+	985882	986793	6	8	7	6	4	5	1	1	1
SL1344_0891	infA	-	986884	987102	1286	762	645	165	270	217	6	4	5
SL1344_0892		-	987030	987359	1766	862	701	181	186	184	19	13	16
SL1344_0893	aat	-	987414	988118	41	39	32	21	16	19	11	7	9
SL1344_0894	cydC	-	988163	989884	50	51	37	28	28	28	2	2	2
SL1344_0895	cydD	-	989885	991651	59	56	39	26	32	29	1	1	1
SL1344_0896	trxB	-	991765	992733	184	204	152	77	73	75	6	5	6
SL1344_0897	lrp	+	993279	993773	283	301	289	298	313	306	16	12	14
SL1344_0898	ftsK	+	993908	997993	96	97	86	61	63	62	5	4	4
SL1344_0899	lolA	+	998133	998747	105	112	96	80	80	80	17	11	14
SL1344_0900	ycaJ	+	998757	1000100	54	66	50	43	53	48	8	9	8
SL1344_0901	serS	+	1000359	1001651	100	109	77	52	65	58	3	3	3
SL1344_0902	dmsA	+	1001888	1004332	2	2	2	33	41	37	1	0	0
SL1344_0903	dmsB	+	1004343	1004960	1	1	1	16	16	16	0	0	0
SL1344_0904	dmsC	+	1004962	1005825	2	3	3	24	27	25	1	1	1
SL1344_0905	ycaD	+	1006175	1007323	21	16	14	6	7	6	4	2	3
SL1344_0906	ycaM	+	1007541	1008962	10	8	21	10	10	10	9	5	7
SL1344_0907	pflA	-	1009255	1010079	68	64	39	34	34	34	18	11	15
STnc3310		-	1009379	1009199	187	170	150	131	163	147	152	122	137
SL1344_0908		-	1010171	1010497	75	63	63	61	53	57	48	29	38
SL1344_0909	sopD2	+	1010628	1011587	15	17	22	75	96	85	11	8	10
SL1344_0910	pflB	-	1011663	1013945	111	137	90	145	180	162	13	14	13
SL1344_0911	focA	-	1014005	1014862	100	109	76	99	151	125	52	36	44
SL1344_0912	ycaO	-	1015267	1017027	58	30	28	8	12	10	1	1	1
SL1344_0913	ycaP	+	1017164	1017856	3	4	13	15	20	18	4	3	4
SL1344_0914	serC	+	1018042	1019130	39	62	54	48	56	52	7	11	9
SL1344_0915	aroA	+	1019201	1020484	34	39	26	24	27	25	2	1	2
SL1344_0916	ycaL	+	1020627	1021388	22	19	12	10	12	11	10	8	9
SL1344_0917	cmk	+	1021561	1022244	406	243	211	63	84	74	23	13	18
SL1344_0918	rpsA	+	1022358	1024031	2324	1880	1285	333	369	351	31	31	31
SL1344_0919	himD	+	1024187	1024471	604	373	516	488	503	495	145	223	184
STnc3330		-	1024591	1024493	0	2	10	27	29	28	7	8	7
SL1344_0920	rec2	+	1024701	1026965	4	3	3	2	2	2	1	1	1
SL1344_0921	msbA	+	1027002	1028750	131	89	67	27	29	28	5	3	4
SL1344_0922	lpxK	+	1028747	1029724	108	68	52	25	27	26	1	1	1
SL1344_0923	ycaQ	+	1029768	1031000	12	16	9	4	4	4	0	0	0
SL1344_0924	ycaR	+	1031052	1031234	112	126	92	43	44	44	14	6	10
SL1344_0925	kdsB	+	1031231	1031977	50	67	48	29	36	33	2	2	2
SL1344_0926		+	1032188	1033081	13	9	8	17	22	20	3	3	3
SL1344_0927	ycbC	-	1033061	1033837	5	6	7	5	5	5	3	2	2
SL1344_0928	smtA	+	1033973	1034776	74	58	37	21	25	23	2	1	1
SL1344_0929	mukF	+	1034769	1036091	81	68	58	37	43	40	2	2	2
SL1344_0930	mukE	+	1036072	1036776	102	85	79	54	56	55	2	2	2
SL1344_0931	mukB	+	1036776	1041242	91	83	72	47	44	46	3	3	3
SL1344_0932	ycbB	+	1041587	1043428	32	39	44	50	49	49	13	9	11
SL1344_0933	ycbK	+	1043688	1044236	85	101	141	112	106	109	9	6	7
SL1344_0934	ycbL	+	1044264	1044911	73	98	109	75	81	78	2	3	2
SL1344_0935	aspC	-	1044973	1046163	108	124	116	73	63	68	9	7	8
SL1344_0936	ompF	-	1046348	1047439	79	113	220	443	321	382	17	13	15
STnc3350		+	1047936	1048028	67	72	45	69	64	66	19	9	14
SL1344_0937	asnCa	-	1048046	1049446	208	195	150	90	137	114	16	16	16
SL1344_0938		-	1049647	1050108	14	12	13	22	20	21	3	2	3
SL1344_0939	dpaL	+	1050425	1051639	1	1	2	3	3	3	3	1	2
SL1344_0940		+	1051884	1053320	1	1	1	1	2	1	2	1	1
SL1344_0941	pncB	-	1053398	1054600	70	67	37	17	23	20	1	1	1
SL1344_0942		-	1054795	1056087	56	70	65	61	51	56	4	3	3
STnc4200		+	1055773	1055892	108	124	94	43	48	45	26	32	29
SL1344_0943		-	1056132	1056380	2	2	4	3	3	3	0	0	0
SL1344_0944		-	1056421	1056660	0	1	0	1	1	1	0	0	0
SL1344_0945		-	1056703	1057812	0	0	0	1	0	0	0	0	0
SL1344_0946	recEa	-	1057823	1060708	0	1	1	1	1	1	0	0	0
IsrB-2		-	1060740	1060833	0	3	8	3	7	5	0	0	0
IsrB-1		+	1060741	1060835	354	436	493	1058	1111	1085	136	208	172
SL1344_0947		-	1060835	1061134	1	5	15	15	19	17	1	0	0
SL1344_0948		-	1061156	1061314	3	6	8	14	11	13	0	0	0
SL1344_0949		-	1061307	1061567	2	2	7	5	5	5	0	0	0
SL1344_0950		-	1061617	1061958	173	164	148	56	76	66	20	19	19
SL1344_0951	C1	+	1062352	1062726	0	0	1	2	2	2	1	0	0
STnc1080		-	1062806	1062745	1170	1090	1054	1941	2150	2045	167	183	175
SL1344_0952		+	1062811	1063794	3	3	4	3	4	4	0	0	0
SL1344_0953		+	1063797	1064546	1	1	1	2	1	1	0	0	0
SL1344_0954		+	1064557	1064904	0	1	1	2	1	1	0	0	0
SL1344_0955		+	1064901	1065212	9	15	13	22	20	21	8	4	6
SL1344_0956		+	1065290	1065580	267	366	406	329	369	349	121	70	96
SL1344_0957		+	1065872	1066105	88	115	106	77	63	70	27	13	20
SL1344_0958		+	1066521	1067123	10	11	17	12	13	12	6	7	7
SL1344_0959	ninG	+	1067332	1067943	0	0	0	0	0	0	0	0	0
SL1344_0960		+	1067940	1068086	0	1	1	1	2	1	0	0	0
SL1344_0961		+	1068076	1068873	3	3	5	5	5	5	2	1	2
SL1344_0962		+	1068940	1069257	197	115	204	79	116	98	76	78	77
SL1344_0963		+	1069431	1069556	1	1	3	5	13	9	3	2	3
SL1344_0964		-	1069692	1070141	119	16	13	9	10	9	3	1	2
SL1344_0965	gtgA	-	1070502	1071188	8	8	14	18	17	17	8	4	6
SL1344_0965A		+	1071458	1071793	0	0	0	0	0	0	0	0	0
SL1344_0966	nucD	+	1071777	1072229	2	1	1	2	1	2	0	1	0
SL1344_0967		+	1072226	1072726	2	1	2	1	3	2	0	0	0
SL1344_0968		+	1072934	1073467	3	3	3	4	6	5	2	1	1
SL1344_0969		+	1073508	1075562	3	2	4	3	4	3	0	0	0
SL1344_0971		+	1075762	1077309	4	4	7	6	7	6	1	1	1
SL1344_0972		+	1077233	1079314	3	2	5	5	6	5	0	0	0
SL1344_0973		+	1079405	1079728	1	2	5	4	5	5	1	1	1
SL1344_0974		+	1079721	1080020	2	3	6	6	5	5	1	1	1
SL1344_0975		+	1080001	1080567	1	3	6	4	4	4	0	0	0
SL1344_0976		+	1080564	1080965	2	1	4	6	5	5	0	0	0
SL1344_0977		+	1081040	1081726	4	4	3	5	3	4	1	1	1
SL1344_0978		+	1081772	1082170	4	2	4	3	4	3	0	0	0
SL1344_0979		+	1082233	1082496	4	5	6	6	5	6	3	2	3
SL1344_0980		+	1082510	1085563	3	2	4	4	3	4	2	1	1
SL1344_0981		+	1085560	1085892	2	2	5	3	5	4	0	1	0
SL1344_0982		+	1085991	1086488	6	10	18	21	17	19	3	3	3
SL1344_0983	sodCa	-	1086605	1087138	35	42	63	140	112	126	5	4	5
SL1344_0984		+	1087228	1087923	2	3	9	8	6	7	4	4	4
SL1344_0985		+	1087933	1088670	2	2	2	3	2	2	1	0	0
SL1344_0986		+	1088568	1089272	2	2	3	3	3	3	0	0	0
SL1344_0987		+	1089344	1092694	1	2	3	3	3	3	0	0	0
SL1344_0988		+	1093029	1095236	1	1	2	1	2	1	1	0	0
SL1344_0989		+	1095236	1095817	1	2	3	5	4	5	3	2	3
SL1344_0990		-	1095821	1096036	4	4	8	7	6	7	9	7	8
SL1344_0991	sseI	+	1096293	1097261	5	5	6	6	6	6	16	8	12
SL1344_0992		+	1097359	1097777	5	6	6	6	6	6	9	3	6
SL1344_0993		-	1097909	1098535	2	1	3	1	2	1	8	6	7
SL1344_0994		-	1098604	1098903	6	14	22	18	25	21	231	178	204
SL1344_0995	gtgE	-	1098888	1099574	24	38	92	140	131	135	605	362	483
SL1344_0996	gtgF	-	1099845	1100036	33	21	19	18	12	15	62	29	45
SL1344_0997	pepN	+	1100463	1103075	25	33	42	38	36	37	5	5	5
SL1344_0998	pyrD	+	1103256	1104293	36	43	26	14	14	14	2	1	1
SL1344_0999	ycbW	+	1104459	1105001	42	44	76	73	93	83	14	11	13
SL1344_1000		-	1104998	1106107	13	14	16	6	8	7	1	1	1
SL1344_1001	rlmL	+	1106206	1108314	75	61	52	16	21	18	2	1	1
SL1344_1002	uup	+	1108327	1110234	79	62	51	16	15	15	2	1	1
SL1344_1003	pqiA	+	1110249	1111502	51	44	35	12	12	12	3	2	2
SL1344_1004	pqiB	+	1111507	1113147	47	41	35	14	15	15	3	2	2
SL1344_1005	ymbA	+	1113144	1113707	56	54	39	18	22	20	8	9	9
STnc3390		-	1113815	1113731	11	1	8	10	8	9	2	1	1
SL1344_1006	rmf	+	1113963	1114130	21	35	218	1358	1604	1481	920	2536	1728
SL1344_1007	fabA	-	1114230	1114748	481	469	177	83	88	85	6	6	6
SL1344_1008	lonH	-	1114817	1116403	90	75	55	17	25	21	1	1	1
SL1344_1009	ycbG	+	1116763	1117215	48	52	63	84	76	80	16	13	15
SL1344_1010	ompA	-	1117287	1118339	964	942	832	705	718	711	161	152	156
SL1344_1011	sulA	-	1118696	1119205	42	42	28	24	20	22	21	10	15
SL1344_1012	sxy	+	1119422	1120027	6	8	14	17	19	18	2	3	2
SL1344_1013	yccS	-	1120014	1122167	20	17	18	14	16	15	2	2	2
SL1344_1014	yccF	-	1122186	1122632	17	12	14	9	7	8	2	1	1
SL1344_1015	helD	+	1122756	1124810	19	24	25	27	24	25	5	4	5
SL1344_1016	mgsA	-	1124846	1125304	19	48	54	76	55	66	16	12	14
SL1344_1017	yccT	-	1125399	1126061	1	2	6	11	10	10	14	15	15
SL1344_1018		+	1126232	1126648	15	22	22	35	27	31	18	8	13
SL1344_1019	yccV	-	1126693	1127010	94	147	62	60	54	57	36	24	30
SL1344_1020	yccW	-	1127068	1128279	37	27	18	12	11	11	6	6	6
SL1344_1021		+	1128494	1129042	4	3	5	6	6	6	1	0	1
SL1344_1022		+	1129068	1129847	7	9	12	8	11	10	3	3	3
SL1344_1023	yccX	+	1129896	1130177	5	4	4	3	5	4	1	1	1
SL1344_1024	yccK	-	1130174	1130503	176	161	101	41	57	49	25	16	21
SL1344_1025	yccA	-	1130590	1131168	62	98	118	126	119	122	71	68	69
SL1344_1026	pipA	-	1131870	1132550	18	17	19	9	9	9	5	2	4
SL1344_1027	pipB	-	1132772	1133647	1	1	7	32	32	32	3	1	2
SL1344_1028		+	1133859	1134185	1	0	2	1	1	1	1	1	1
SL1344_1029	pipC	-	1134195	1134536	22	21	577	2227	2196	2211	6	6	6
SL1344_1030	sopB	-	1134553	1136238	4	6	164	594	514	554	3	2	3
SL1344_1031	orfX	+	1136570	1136740	3	5	48	405	691	548	2	1	2
SL1344_1032		-	1136741	1136851	3	3	4	7	9	8	10	4	7
SL1344_1033	pipD	-	1136960	1138429	6	5	13	23	21	22	6	3	4
SL1344_1034	copS	-	1138602	1139966	10	10	6	4	5	4	1	0	1
SL1344_1035	copR	-	1139959	1140705	22	18	16	10	11	11	11	5	8
SL1344_1036		+	1140775	1141185	26	25	28	28	32	30	7	7	7
SL1344_1037	hpaC	-	1141518	1142030	3	5	8	5	4	5	2	2	2
SL1344_1038	hpaB	-	1142048	1143610	3	1	3	2	2	2	1	1	1
SL1344_1039	hpaR	-	1143828	1144268	10	15	9	8	6	7	3	1	2
SL1344_1040	hpaG	+	1144543	1145832	1	1	5	5	4	4	0	1	1
SL1344_1041	hpaE	+	1145829	1147295	0	1	3	3	3	3	0	1	1
SL1344_1042	hpaD	+	1147297	1148148	1	2	6	5	4	4	1	0	0
SL1344_1043	hpaF	+	1148158	1148538	1	3	7	8	8	8	1	0	1
SL1344_1044	hpaH	+	1148681	1149484	2	0	3	4	2	3	0	1	1
SL1344_1045	hpaI	+	1149495	1150286	1	1	2	3	2	3	0	0	0
SL1344_1046	hpaX	+	1150358	1151734	2	1	4	3	3	3	0	0	0
SL1344_1047	hpaA	+	1151744	1152640	1	1	4	3	3	3	0	0	0
SL1344_1048		+	1152675	1153592	8	7	9	6	8	7	2	2	2
STnc1880		+	1153745	1153841	236	143	146	63	70	66	42	15	28
SL1344_1049		-	1154000	1154362	3	3	8	5	10	7	3	3	3
STnc3400		+	1154915	1154976	17	17	27	37	27	32	29	15	22
SL1344_1050	yccD	-	1155016	1155321	21	33	30	69	67	68	34	22	28
SL1344_1051	cbpA	-	1155321	1156241	15	21	26	33	39	36	10	9	10
SL1344_1052	scsA	+	1156476	1156838	99	96	105	63	57	60	35	24	30
SL1344_1053	scsB	+	1156887	1158773	6	4	4	2	2	2	0	0	0
SL1344_1054	scsC	+	1158770	1159393	4	4	3	2	2	2	1	0	0
SL1344_1055	scsD	+	1159383	1159889	6	3	4	2	2	2	0	0	0
SL1344_1056	agp	+	1160022	1161263	6	11	26	40	39	39	3	2	3
SL1344_1057	yccJ	-	1161297	1161524	15	30	89	257	301	279	137	129	133
SL1344_1058	wrbA	-	1161545	1162141	9	11	50	116	116	116	64	51	57
SL1344_1059	ymdF	+	1162526	1162693	25	28	119	384	428	406	1995	4686	3341
SL1344_1060	ycdC	+	1162830	1163468	33	26	23	13	13	13	6	6	6
SL1344_1061		-	1163465	1163860	57	78	194	76	54	65	11	7	9
SL1344_1062	putA	-	1163919	1167881	9	18	196	18	11	15	1	1	1
SL1344_1063	putP	+	1168303	1169811	26	20	225	33	20	27	2	1	1
SL1344_1064	phoH	+	1170638	1171492	5	10	66	172	186	179	116	84	100
SL1344_1065		-	1171598	1172479	53	54	28	23	21	22	4	3	3
STnc500		-	1172641	1172561	117	163	3422	1050	871	961	618	464	541
SL1344_1066		-	1172764	1174260	2	1	12	7	6	6	3	1	2
SL1344_1067		-	1174597	1175277	1	1	14	10	9	9	1	1	1
SL1344_1068		+	1175783	1176943	1	1	29	15	10	13	11	5	8
SL1344_1069		+	1176989	1177681	1	1	114	32	23	27	1	1	1
SL1344_1070		+	1177964	1179244	5	4	35	10	9	10	3	2	2
SL1344_1071		+	1179255	1180361	13	14	88	25	20	22	2	2	2
SL1344_1072	ycdW	+	1181205	1182143	31	34	31	18	17	17	1	1	1
SL1344_1073	ycdX	+	1182228	1182965	65	58	57	36	44	40	7	9	8
SL1344_1074	ycdY	+	1182989	1183543	39	41	30	22	30	26	4	5	4
SL1344_1075	ycdZ	+	1183653	1184126	180	169	65	33	37	35	7	5	6
SL1344_1076	csgG	-	1184165	1184911	4	4	7	6	6	6	10	5	8
SL1344_1077	csgF	-	1185025	1185441	0	0	1	1	2	2	0	0	0
SL1344_1078	csgE	-	1185468	1185863	2	2	2	3	4	3	2	0	1
SL1344_1079	csgD	-	1185868	1186518	1	2	2	5	5	5	2	0	1
SL1344_1080	csgB	+	1187273	1187728	0	1	1	1	1	1	1	0	0
SL1344_1081	csgA	+	1187770	1188225	2	1	1	2	3	2	1	1	1
SL1344_1082	csgC	+	1188287	1188613	56	59	61	82	47	64	6	2	4
SL1344_1083	ymdA	+	1188744	1189064	59	62	44	39	49	44	1	0	0
SL1344_1084		+	1189154	1189693	37	46	45	43	55	49	19	10	15
SL1344_1085	ymdC	+	1189629	1191116	24	31	32	34	41	37	9	6	8
SL1344_1086	mdoC	-	1191133	1192287	20	19	12	6	6	6	6	3	5
SL1344_1087	mdoG	+	1192559	1194094	132	128	94	53	65	59	23	14	19
SL1344_1088	mdoH	+	1194087	1196630	105	98	71	37	40	38	7	6	6
SL1344_1089	yceK	+	1196704	1196931	34	27	13	5	7	6	1	2	1
SL1344_1090	msyB	-	1196932	1197306	12	14	58	101	71	86	57	38	47
SL1344_1091	yceE	-	1197388	1198602	8	7	7	4	3	4	4	4	4
STnc3040		+	1198646	1198752	9	12	22	21	29	25	83	47	65
SL1344_1092	htrB	-	1198757	1199677	70	53	47	17	24	20	5	3	4
SL1344_1093	yceA	+	1199897	1200949	165	114	50	9	9	9	2	1	2
SL1344_1094	yceI	-	1201001	1201576	11	13	10	9	10	9	16	14	15
SL1344_1095	yceJ	-	1201573	1202145	9	12	5	4	4	4	7	5	6
SL1344_1096	yceO	-	1202408	1202521	5	8	12	1	5	3	3	1	2
SL1344_1097	solA	-	1202562	1203680	18	20	16	19	18	19	2	2	2
SL1344_1098	bssS	-	1203793	1204050	168	231	176	208	242	225	100	104	102
SL1344_1099	dinI	-	1204337	1204582	214	347	257	145	107	126	29	12	21
SL1344_1100	pyrC	-	1204656	1205702	34	74	59	58	41	49	2	1	1
SL1344_1101	yceB	-	1205807	1206367	164	191	183	196	181	189	130	90	110
SL1344_1102	grxB	-	1206492	1207139	20	50	77	146	151	148	77	68	73
SL1344_1103	yceL	-	1207203	1208411	8	8	11	8	9	8	2	1	2
SL1344_1104	rimJ	+	1208648	1209232	34	42	58	71	63	67	15	9	12
SL1344_1105	yceH	+	1209268	1209915	29	40	56	75	65	70	3	4	4
SL1344_1106	mviM	+	1209917	1210840	21	26	36	33	35	34	2	2	2
SL1344_1107	mviN	+	1211105	1212679	29	20	20	11	13	12	2	2	2
SL1344_1108	flgN	-	1212761	1213183	358	514	378	603	666	635	24	22	23
SL1344_1109	flgM	-	1213188	1213481	300	404	307	493	723	608	20	21	21
SL1344_1110	flgA	-	1213573	1214232	222	315	172	159	138	148	1	1	1
SL1344_1111	flgB	+	1214389	1214805	474	465	365	258	273	265	1	1	1
SL1344_1112	flgC	+	1214809	1215213	264	276	219	253	204	228	0	1	1
SL1344_1113	flgD	+	1215225	1215923	198	218	181	121	121	121	0	1	0
SL1344_1114	flgE	+	1215950	1217161	171	216	164	132	137	134	1	1	1
SL1344_1115	flgF	+	1217182	1217937	239	334	251	176	192	184	0	1	0
SL1344_1116	flgG	+	1217951	1218733	222	286	230	150	168	159	1	1	1
SL1344_1117	flgH	+	1218788	1219486	199	213	149	105	118	112	1	1	1
SL1344_1118	flgI	+	1219498	1220595	144	128	95	67	78	73	0	0	0
SL1344_1119	flgJ	+	1220595	1221545	105	107	72	58	73	66	0	0	0
SL1344_1120	flgK	+	1221610	1223271	225	250	241	268	355	312	5	3	4
SL1344_1121	flgL	+	1223286	1224239	199	244	229	275	309	292	4	3	3
STnc840		+	1224244	1224316	469	573	839	1198	1745	1472	460	443	451
SL1344_1122	rne	-	1224496	1227699	126	101	89	46	54	50	1	1	1
SL1344_1123	rluC	+	1228273	1229232	171	134	84	20	21	21	4	3	3
SL1344_1124		+	1229388	1230131	34	19	19	16	13	14	2	1	1
SL1344_1125		+	1230337	1230561	39	28	20	16	14	15	4	2	3
SL1344_1126	maf-a	-	1230633	1231217	15	17	19	18	18	18	1	3	2
SraB		+	1231270	1231378	806	734	657	306	366	336	38	35	36
SL1344_1127	yceD	+	1231415	1231936	4963	3274	1759	539	508	524	7	9	8
SL1344_1128	rpl32	+	1231988	1232161	6256	3971	2168	746	704	725	10	12	11
SL1344_1129	plsX	+	1232295	1233374	540	391	260	85	106	95	2	3	2
