locus_tag	common gene name	strand	start	end	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_0980		+	1082510	1085563	2	2	2	2	1	3	3	3
SL1344_0981		+	1085560	1085892	2	2	2	2	2	4	2	5
SL1344_0982		+	1085991	1086488	10	13	12	15	16	19	17	17
SL1344_0983	sodCa	-	1086605	1087138	42	32	30	66	67	63	59	102
SL1344_0984		+	1087228	1087923	3	4	3	3	3	10	4	7
SL1344_0985		+	1087933	1088670	2	2	0	1	1	3	2	2
SL1344_0986		+	1088568	1089272	2	1	1	1	1	4	1	3
SL1344_0987		+	1089344	1092694	2	2	1	1	1	2	2	3
SL1344_0988		+	1093029	1095236	1	0	0	0	0	1	2	1
SL1344_0989		+	1095236	1095817	2	1	2	2	3	4	2	1
SL1344_0990		-	1095821	1096036	4	5	2	3	12	3	5	7
SL1344_0991	sseI	+	1096293	1097261	5	6	7	6	16	7	8	7
SL1344_0992		+	1097359	1097777	6	7	5	4	13	6	10	8
SL1344_0993		-	1097909	1098535	1	1	0	0	4	1	1	1
SL1344_0994		-	1098604	1098903	14	15	9	11	49	13	17	11
SL1344_0995	gtgE	-	1098888	1099574	38	33	51	25	238	61	68	41
SL1344_0996	gtgF	-	1099845	1100036	21	38	36	22	98	19	27	15
SL1344_0997	pepN	+	1100463	1103075	33	43	19	19	29	55	57	59
SL1344_0998	pyrD	+	1103256	1104293	43	52	12	22	10	54	21	11
SL1344_0999	ycbW	+	1104459	1105001	44	44	23	36	73	71	51	44
SL1344_1000		-	1104998	1106107	14	25	7	12	11	20	16	7
SL1344_1001	rlmL	+	1106206	1108314	61	55	26	54	26	71	50	13
SL1344_1002	uup	+	1108327	1110234	62	58	19	57	23	68	47	13
SL1344_1003	pqiA	+	1110249	1111502	44	50	22	33	27	54	36	12
SL1344_1004	pqiB	+	1111507	1113147	41	45	16	26	17	49	36	13
SL1344_1005	ymbA	+	1113144	1113707	54	51	22	44	36	49	45	20
STnc3390		-	1113815	1113731	1	20	12	8	12	7	7	37
SL1344_1006	rmf	+	1113963	1114130	35	35	21	27	92	90	70	729
SL1344_1007	fabA	-	1114230	1114748	469	372	373	224	88	294	264	56
SL1344_1008	lonH	-	1114817	1116403	75	69	27	45	19	74	52	11
SL1344_1009	ycbG	+	1116763	1117215	52	75	97	40	85	96	69	106
SL1344_1010	ompA	-	1117287	1118339	942	692	103	741	762	1325	987	579
SL1344_1011	sulA	-	1118696	1119205	42	224	180	28	109	42	31	24
SL1344_1012	sxy	+	1119422	1120027	8	8	6	5	10	18	8	24
SL1344_1013	yccS	-	1120014	1122167	17	31	14	15	26	20	22	19
SL1344_1014	yccF	-	1122186	1122632	12	20	6	13	11	14	11	10
SL1344_1015	helD	+	1122756	1124810	24	20	15	19	27	32	29	31
SL1344_1016	mgsA	-	1124846	1125304	48	55	30	19	29	129	52	196
SL1344_1017	yccT	-	1125399	1126061	2	3	2	2	5	4	5	3
SL1344_1018		+	1126232	1126648	22	12	15	15	16	44	25	34
SL1344_1019	yccV	-	1126693	1127010	147	134	45	97	596	144	205	81
SL1344_1020	yccW	-	1127068	1128279	27	41	16	24	17	30	19	13
SL1344_1021		+	1128494	1129042	3	5	3	4	5	7	4	20
SL1344_1022		+	1129068	1129847	9	7	7	8	15	14	13	24
SL1344_1023	yccX	+	1129896	1130177	4	3	1	1	10	9	6	9
SL1344_1024	yccK	-	1130174	1130503	161	158	122	135	161	159	131	59
SL1344_1025	yccA	-	1130590	1131168	98	100	26	37	85	122	79	35
SL1344_1026	pipA	-	1131870	1132550	17	45	21	17	17	11	20	17
SL1344_1027	pipB	-	1132772	1133647	1	4	2	2	6	3	1	2
SL1344_1028		+	1133859	1134185	0	0	1	0	1	0	0	0
SL1344_1029	pipC	-	1134195	1134536	21	19	17	16	25	25	25	14
SL1344_1030	sopB	-	1134553	1136238	6	7	4	3	2	5	4	2
SL1344_1031	orfX	+	1136570	1136740	5	0	20	3	4	28	4	374
SL1344_1032		-	1136741	1136851	3	15	3	1	3	5	1	6
SL1344_1033	pipD	-	1136960	1138429	5	11	13	5	4	21	4	33
SL1344_1034	copS	-	1138602	1139966	10	13	6	5	6	11	10	6
SL1344_1035	copR	-	1139959	1140705	18	34	16	14	17	26	22	27
SL1344_1036		+	1140775	1141185	25	42	19	33	51	20	35	57
SL1344_1037	hpaC	-	1141518	1142030	5	7	5	5	4	2	5	5
SL1344_1038	hpaB	-	1142048	1143610	1	3	2	2	3	2	2	5
SL1344_1039	hpaR	-	1143828	1144268	15	23	6	6	5	19	12	8
SL1344_1040	hpaG	+	1144543	1145832	1	2	0	1	1	2	1	1
SL1344_1041	hpaE	+	1145829	1147295	1	1	0	1	1	1	1	1
SL1344_1042	hpaD	+	1147297	1148148	2	2	0	1	1	2	3	0
SL1344_1043	hpaF	+	1148158	1148538	3	1	0	1	1	3	3	2
SL1344_1044	hpaH	+	1148681	1149484	0	2	1	2	0	2	1	2
SL1344_1045	hpaI	+	1149495	1150286	1	1	0	2	1	1	1	1
SL1344_1046	hpaX	+	1150358	1151734	1	1	1	1	3	2	2	1
SL1344_1047	hpaA	+	1151744	1152640	1	2	1	1	1	2	1	1
SL1344_1048		+	1152675	1153592	7	9	5	8	7	6	8	10
STnc1880		+	1153745	1153841	143	669	223	163	235	121	151	238
SL1344_1049		-	1154000	1154362	3	5	2	3	32	9	5	5
STnc3400		+	1154915	1154976	17	44	48	24	61	17	21	9
SL1344_1050	yccD	-	1155016	1155321	33	28	16	19	57	48	48	142
SL1344_1051	cbpA	-	1155321	1156241	21	20	9	13	31	39	32	54
SL1344_1052	scsA	+	1156476	1156838	96	142	109	76	143	120	112	46
SL1344_1053	scsB	+	1156887	1158773	4	8	3	3	2	3	2	2
SL1344_1054	scsC	+	1158770	1159393	4	4	3	2	2	4	3	1
SL1344_1055	scsD	+	1159383	1159889	3	4	4	4	2	2	2	2
SL1344_1056	agp	+	1160022	1161263	11	16	7	5	10	31	16	107
SL1344_1057	yccJ	-	1161297	1161524	30	19	12	12	153	98	72	770
SL1344_1058	wrbA	-	1161545	1162141	11	7	8	4	101	32	22	217
SL1344_1059	ymdF	+	1162526	1162693	28	25	25	40	1772	86	61	195
SL1344_1060	ycdC	+	1162830	1163468	26	24	32	31	49	28	22	15
SL1344_1061		-	1163465	1163860	78	94	68	55	65	122	101	58
SL1344_1062	putA	-	1163919	1167881	18	30	12	3	10	51	22	4
SL1344_1063	putP	+	1168303	1169811	20	51	18	21	14	54	26	6
SL1344_1064	phoH	+	1170638	1171492	10	21	7	7	63	21	21	45
SL1344_1065		-	1171598	1172479	54	44	27	30	20	63	48	28
STnc500		-	1172641	1172561	163	179	443	152	225	168	178	689
SL1344_1066		-	1172764	1174260	1	3	2	1	4	3	1	55
SL1344_1067		-	1174597	1175277	1	3	4	0	1	11	1	144
SL1344_1068		+	1175783	1176943	1	2	2	1	4	2	0	175
SL1344_1069		+	1176989	1177681	1	5	4	1	6	1	0	216
SL1344_1070		+	1177964	1179244	4	3	6	3	11	5	5	45
SL1344_1071		+	1179255	1180361	14	23	12	9	17	17	18	40
SL1344_1072	ycdW	+	1181205	1182143	34	28	7	21	30	57	34	9
SL1344_1073	ycdX	+	1182228	1182965	58	66	30	41	61	94	50	34
SL1344_1074	ycdY	+	1182989	1183543	41	48	23	26	34	58	31	20
SL1344_1075	ycdZ	+	1183653	1184126	169	165	159	90	74	116	126	211
SL1344_1076	csgG	-	1184165	1184911	4	5	4	2	8	5	5	8
SL1344_1077	csgF	-	1185025	1185441	0	0	0	1	0	0	1	0
SL1344_1078	csgE	-	1185468	1185863	2	1	1	1	2	0	1	0
SL1344_1079	csgD	-	1185868	1186518	2	1	2	1	2	2	3	1
SL1344_1080	csgB	+	1187273	1187728	1	0	0	1	6	0	1	0
SL1344_1081	csgA	+	1187770	1188225	1	1	0	0	3	1	1	1
SL1344_1082	csgC	+	1188287	1188613	59	54	62	34	43	79	78	21
SL1344_1083	ymdA	+	1188744	1189064	62	42	22	28	26	64	68	16
SL1344_1084		+	1189154	1189693	46	42	21	31	29	58	52	30
SL1344_1085	ymdC	+	1189629	1191116	31	34	17	16	24	34	34	22
SL1344_1086	mdoC	-	1191133	1192287	19	41	21	14	27	24	21	14
SL1344_1087	mdoG	+	1192559	1194094	128	121	33	94	86	163	113	51
SL1344_1088	mdoH	+	1194087	1196630	98	110	33	75	54	120	82	33
SL1344_1089	yceK	+	1196704	1196931	27	40	12	15	11	15	15	4
SL1344_1090	msyB	-	1196932	1197306	14	17	9	8	34	44	21	30
SL1344_1091	yceE	-	1197388	1198602	7	10	8	6	11	9	9	8
STnc3040		+	1198646	1198752	12	17	12	14	104	12	19	41
SL1344_1092	htrB	-	1198757	1199677	53	66	28	64	69	61	52	44
SL1344_1093	yceA	+	1199897	1200949	114	102	40	125	27	102	97	9
SL1344_1094	yceI	-	1201001	1201576	13	8	7	8	12	24	20	6
SL1344_1095	yceJ	-	1201573	1202145	12	14	7	6	8	16	14	2
SL1344_1096	yceO	-	1202408	1202521	8	20	3	5	16	10	11	34
SL1344_1097	solA	-	1202562	1203680	20	31	10	12	53	35	27	31
SL1344_1098	bssS	-	1203793	1204050	231	445	159	235	3222	185	331	1110
SL1344_1099	dinI	-	1204337	1204582	347	770	338	206	338	314	274	114
SL1344_1100	pyrC	-	1204656	1205702	74	86	30	30	28	94	65	23
SL1344_1101	yceB	-	1205807	1206367	191	295	258	160	287	183	216	292
SL1344_1102	grxB	-	1206492	1207139	50	51	20	22	202	131	85	112
SL1344_1103	yceL	-	1207203	1208411	8	10	9	5	8	11	10	22
SL1344_1104	rimJ	+	1208648	1209232	42	47	53	19	34	150	38	120
SL1344_1105	yceH	+	1209268	1209915	40	46	34	18	31	105	33	116
SL1344_1106	mviM	+	1209917	1210840	26	42	15	9	14	58	28	61
SL1344_1107	mviN	+	1211105	1212679	20	45	15	20	13	21	20	12
SL1344_1108	flgN	-	1212761	1213183	514	431	189	374	1021	519	513	564
SL1344_1109	flgM	-	1213188	1213481	404	281	148	289	857	486	402	511
SL1344_1110	flgA	-	1213573	1214232	315	166	246	132	68	252	302	54
SL1344_1111	flgB	+	1214389	1214805	465	257	259	231	139	737	418	72
SL1344_1112	flgC	+	1214809	1215213	276	173	186	167	80	368	277	39
SL1344_1113	flgD	+	1215225	1215923	218	112	44	94	52	321	207	28
SL1344_1114	flgE	+	1215950	1217161	216	177	37	100	73	326	193	28
SL1344_1115	flgF	+	1217182	1217937	334	177	84	188	56	490	325	43
SL1344_1116	flgG	+	1217951	1218733	286	184	54	147	53	417	254	29
SL1344_1117	flgH	+	1218788	1219486	213	144	83	102	49	304	183	19
SL1344_1118	flgI	+	1219498	1220595	128	97	57	82	37	154	113	18
SL1344_1119	flgJ	+	1220595	1221545	107	83	52	66	24	115	92	15
SL1344_1120	flgK	+	1221610	1223271	250	268	70	227	330	349	250	241
SL1344_1121	flgL	+	1223286	1224239	244	316	73	224	272	260	240	227
STnc840		+	1224244	1224316	573	608	222	332	1886	156	315	954
SL1344_1122	rne	-	1224496	1227699	101	139	38	89	22	119	108	53
SL1344_1123	rluC	+	1228273	1229232	134	126	65	119	24	113	108	28
SL1344_1124		+	1229388	1230131	19	45	26	15	10	26	11	37
SL1344_1125		+	1230337	1230561	28	41	13	11	8	29	16	43
SL1344_1126	maf-a	-	1230633	1231217	17	21	17	12	31	29	25	29
SraB		+	1231270	1231378	734	584	532	588	333	348	527	619
SL1344_1127	yceD	+	1231415	1231936	3274	2313	2289	3083	1612	1802	1963	416
SL1344_1128	rpl32	+	1231988	1232161	3971	3621	2295	3732	2205	3380	2600	502
SL1344_1129	plsX	+	1232295	1233374	391	314	223	430	137	218	245	60
SL1344_1130	fabH	+	1233454	1234407	221	245	138	204	95	272	168	52
SL1344_1131	fabD	+	1234423	1235352	277	311	138	262	110	310	192	52
SL1344_1132	fabG	+	1235365	1236099	1043	691	380	783	358	879	693	225
SL1344_1133	acpP	+	1236255	1236491	7637	4464	6707	6787	4438	7822	7730	2789
SL1344_1134	fabF	+	1236577	1237818	698	573	116	448	233	690	462	124
SL1344_1135	pabC	+	1237942	1238751	49	66	32	40	50	49	37	17
SL1344_1136	yceG	+	1238820	1239776	39	46	28	43	40	44	32	22
SL1344_1137	tmk	+	1239766	1240407	49	49	17	41	38	64	39	21
SL1344_1138	holB	+	1240404	1241408	46	38	24	39	20	43	35	20
SL1344_1139	ycfH	+	1241419	1242216	43	60	16	44	69	46	30	25
SL1344_1140	ptsG	+	1242511	1243944	89	159	41	77	22	156	48	87
SL1344_1141	fhuE	-	1244029	1246203	4	6	2	2	2	45	112	2
SL1344_1142	ycfF	+	1246545	1246904	102	90	46	72	140	202	116	77
SL1344_1143	ycfL	+	1246907	1247281	113	59	43	70	86	191	110	58
SL1344_1144	ycfM	+	1247295	1247933	54	31	15	33	50	98	51	38
SL1344_1145	thiK	+	1247914	1248738	40	36	22	19	37	54	33	31
SL1344_1146	nagZ	+	1248749	1249774	40	50	21	23	50	64	47	75
SL1344_1147	ycfP	+	1249799	1250341	71	47	23	38	86	96	81	153
SL1344_1148	ndh	+	1250596	1251900	182	153	87	95	181	73	116	26
SL1344_1149	ycfJ	+	1252079	1252618	14	24	7	17	125	43	22	12
STnc850		+	1252598	1252673	97	74	149	178	1144	150	147	150
STnc1090		-	1252626	1252560	50	62	37	34	71	56	63	90
SL1344_1150	ycfQ	-	1252693	1253328	89	35	36	68	76	101	97	75
SL1344_1151	ycfR	+	1253570	1253827	47	27	17	312	638	34	177	13
SL1344_1152	ycfS	-	1253924	1254889	7	15	5	4	10	10	6	6
SL1344_1153	mfd	-	1255037	1258483	30	28	12	22	20	36	26	19
STnc3410		-	1255077	1254996	303	220	313	383	187	88	326	411
SL1344_1154	ycfU	+	1258821	1260020	63	80	31	50	48	67	61	22
SL1344_1155	lolD	+	1260013	1260714	56	85	29	49	32	58	59	17
SL1344_1156	ycfW	+	1260714	1261958	56	60	21	37	23	69	53	18
SL1344_1157	ycfX	+	1261987	1262898	78	82	59	55	45	93	73	38
SL1344_1158	cobB	+	1262917	1263738	111	105	87	80	45	114	108	54
SL1344_1159	potD	-	1263820	1264866	82	96	28	74	27	119	70	19
SL1344_1160	potC	-	1264891	1265670	73	103	51	80	43	64	53	24
SL1344_1161	sifA	-	1265986	1266996	11	16	8	9	55	10	20	7
SL1344_1162	potB	-	1267325	1268188	48	38	35	53	9	37	36	9
SL1344_1163	potA	-	1268172	1269308	54	45	22	58	18	46	36	14
SL1344_1164	pepT	+	1269559	1270788	9	9	5	4	7	23	12	276
SL1344_1165		+	1270792	1272837	10	9	8	10	11	7	12	25
SL1344_1166		+	1270948	1271457	0	0	0	0	0	0	0	0
SL1344_1167	ycfD	-	1272877	1273998	67	91	38	55	38	67	64	32
SL1344_1168	phoQ	-	1274079	1275542	133	123	86	222	143	167	125	57
SL1344_1169	phoP	-	1275542	1276216	205	165	95	283	333	350	186	127
SL1344_1170	purB	-	1276340	1277710	71	73	20	35	17	81	42	7
SL1344_1171	ycfC	-	1277714	1278361	96	96	44	79	29	75	74	17
SL1344_1172	mnmA	-	1278442	1279548	148	200	104	132	98	131	120	34
SL1344_1173	ymfB	-	1279602	1280063	17	17	6	10	16	19	15	11
SL1344_1174		-	1280075	1280404	22	21	11	15	22	28	21	17
SL1344_1175	rluB	-	1280401	1281066	40	33	18	33	104	33	40	33
SL1344_1176	icdA	+	1281238	1282488	290	333	92	149	431	384	349	101
STnc150		-	1282677	1282521	29	50	61	30	83	55	51	50
SL1344_1177		+	1282936	1284060	14	40	27	15	76	20	20	4
SL1344_1179	envF	-	1285042	1285830	2	11	8	3	44	1	2	3
IsrC		+	1285998	1286285	2	4	3	8	24	5	2	9
SL1344_1180	msgA	-	1286319	1286558	216	156	153	186	210	232	247	95
SL1344_1181	envE	-	1286749	1287270	23	85	42	31	46	14	19	5
SL1344_1182	cspH	-	1287685	1287897	59	452	42	39	8	18	31	13
SL1344_1183	pagD	-	1288029	1288292	1	2	1	1	7	1	1	0
SL1344_1184	pagC	+	1289191	1289661	16	18	22	16	116	10	13	6
STnc3420		-	1289799	1289667	6	30	15	16	32	20	10	38
STnc520		-	1290674	1290590	537	129	582	868	920	436	794	757
SL1344_1185	pliC	-	1290898	1291242	76	102	125	97	724	97	120	164
SL1344_1186		+	1291945	1292217	5	27	7	5	25	2	4	15
SL1344_1187		+	1292369	1292836	108	194	48	75	855	120	214	176
STnc1760		-	1292935	1292835	48	70	125	59	35	22	73	110
STnc1210		+	1292956	1293014	401	250	369	365	924	18	744	764
SL1344_1188		+	1293175	1294218	10	16	9	12	13	7	14	17
SL1344_1189		-	1294301	1294831	19	20	16	32	36	50	22	9
STnc1990		+	1294841	1294974	110	152	128	158	392	241	172	167
SL1344_1190		-	1294980	1295294	41	51	60	46	93	59	60	28
STnc3430		-	1295057	1294946	98	122	111	122	163	122	114	133
SL1344_1191		+	1295976	1297610	7	13	6	4	5	13	6	170
SL1344_1192		+	1297610	1298584	5	9	4	3	1	7	4	48
SL1344_1193		+	1298574	1299386	8	7	8	4	2	6	6	38
SL1344_1194		+	1299380	1300177	5	6	3	3	1	6	4	33
SL1344_1195		+	1300171	1300761	2	4	5	1	1	3	5	32
SL1344_1196		-	1300843	1301976	6	6	5	8	52	11	10	7
SL1344_1197		+	1302170	1302496	14	12	12	18	226	41	38	21
IsrD		-	1302641	1302591	0	0	0	0	0	0	0	0
SL1344_1198		+	1302693	1303340	28	33	17	18	38	30	28	8
STnc3440		+	1303294	1303380	21	19	6	16	55	60	30	35
SL1344_1199	aadA	+	1303449	1304237	13	25	6	10	9	14	18	13
SL1344_1200		+	1304382	1304975	2	5	3	2	30	9	4	3
SL1344_1201		+	1305044	1305892	41	432	59	30	47	53	45	47
SL1344_1202		-	1306147	1306395	112	41	34	22	1183	530	357	63
SL1344_1203		-	1306474	1306623	7	18	8	1	19	5	4	5
SL1344_1204	aroQ	+	1306706	1307251	49	36	47	29	25	40	15	4
SL1344_1205	yeaS	+	1307448	1308086	110	126	87	70	117	155	100	65
SL1344_1206	yeaR	+	1308259	1308620	19	40	24	19	33	31	47	44
SL1344_1207	yoaG	+	1308623	1308805	25	42	18	24	45	40	49	63
SL1344_1208		+	1309035	1309676	5	6	5	6	13	8	8	12
SL1344_1209		+	1309798	1309983	21	21	32	32	278	92	65	80
RyhB-2		-	1309937	1309727	109	230	248	103	115	773	3326	41
SL1344_1210	yeaQ	+	1309991	1310239	31	28	24	45	476	139	105	86
SL1344_1211	yaoF	+	1310672	1310923	15	23	12	21	75	44	22	69
SL1344_1212		+	1310992	1311303	79	106	111	54	72	84	95	160
SL1344_1213	yeaO	-	1311289	1311636	46	33	25	32	39	46	49	30
SL1344_1214	yeaN	-	1311755	1312939	5	5	4	8	9	10	9	1
SL1344_1215	yeaM	+	1313040	1313834	11	11	6	12	75	16	20	12
SL1344_1216	yeaL	-	1313814	1314260	11	16	13	9	9	17	9	12
SL1344_1217	yeaK	-	1314570	1315088	9	11	3	9	14	11	8	10
SL1344_1218	yeaJ	-	1315138	1316631	12	12	5	10	16	10	12	19
STnc1480		+	1316874	1317268	13	9	17	33	56	10	15	49
SL1344_1219	yeaH	-	1317272	1318558	16	16	5	9	30	35	28	67
SL1344_1220	yeaG	-	1318681	1320465	9	9	4	4	25	19	14	29
SL1344_1221	mipA	+	1321042	1321788	238	221	89	149	141	440	254	163
SL1344_1222		+	1322078	1323274	3	4	2	3	5	3	3	1
SL1344_1223		+	1323371	1324228	13	16	8	8	22	22	20	16
SL1344_1224	yeaD	-	1324327	1325211	29	39	8	17	13	37	31	33
SL1344_1224A		-	1325211	1325465	61	42	6	27	9	52	70	61
SL1344_1225	gapA	-	1325546	1326541	1049	788	254	553	403	1331	893	1032
SL1344_1226	yeaA	+	1326853	1327296	177	246	201	98	290	282	97	99
SL1344_1227	yeaC	+	1327338	1327616	229	232	109	92	185	283	129	141
SL1344_1228	nam	-	1327968	1328624	40	33	16	28	14	46	32	10
SL1344_1229	ansA	-	1328651	1329667	33	41	9	24	19	49	36	17
SL1344_1230	sppA	-	1329763	1331619	35	37	10	28	19	55	40	14
SL1344_1231	ydjA	+	1331793	1332344	40	79	53	29	60	64	48	38
SL1344_1232	selD	+	1332462	1333505	75	66	32	46	48	86	78	53
SL1344_1233	topB	+	1333510	1335459	66	50	29	33	44	83	69	33
SL1344_1234	gdhA	-	1335489	1336832	17	22	12	15	48	34	42	39
SL1344_1235		+	1337071	1337346	168	120	114	204	404	219	188	469
SL1344_1236		-	1337306	1337722	10	12	5	4	3	13	7	4
SL1344_1237	xthA	-	1337795	1338601	39	40	13	25	21	59	42	26
SL1344_1238	argDa	+	1339047	1340273	2	2	2	2	4	4	3	1
SL1344_1239	astA	+	1340264	1341298	1	3	1	1	3	3	3	1
SL1344_1240	astD	+	1341295	1342773	2	2	1	1	2	2	2	2
SL1344_1241	astB	+	1342770	1344113	3	4	2	1	2	4	4	3
SL1344_1242	astE	+	1344106	1345074	2	2	2	0	1	3	3	2
SL1344_1243		+	1345410	1345895	10	12	8	9	85	19	20	11
STnc1640		+	1345883	1345970	114	141	300	180	273	15	160	532
SL1344_1244		-	1345970	1346851	18	26	10	13	37	20	15	10
SL1344_1245	nadE	-	1346972	1347799	51	60	34	30	140	115	78	81
SL1344_1246	osmE	+	1348018	1348359	122	93	95	73	1570	270	242	456
SL1344_1247	celA	+	1348660	1348980	26	59	44	26	70	83	31	157
SL1344_1248	celB	+	1349063	1350421	7	9	7	7	14	13	6	54
SL1344_1249	celC	+	1350472	1350819	12	13	12	13	13	18	15	42
SL1344_1250	celD	+	1350908	1351672	7	5	8	9	14	15	9	33
SL1344_1251	celF	+	1351797	1353152	4	6	3	6	9	5	5	10
SL1344_1252	celG	+	1353165	1353923	14	10	8	13	9	13	16	18
STnc2010		+	1353832	1353959	29	24	37	40	32	43	24	58
SL1344_1253	katE	-	1353967	1356219	5	3	1	2	24	18	9	20
SL1344_1254	cedA	+	1356584	1356826	53	55	38	32	37	64	42	21
SL1344_1255	ydjN	-	1356928	1358319	22	31	9	73	293	24	21	15
SL1344_1256	ydjM	-	1358456	1359055	7	11	4	5	13	6	4	3
STnc3570		-	1359183	1359017	249	370	333	425	275	169	419	478
SL1344_1257	yniC	-	1359193	1359861	33	32	8	22	20	44	26	16
SL1344_1258	yniB	+	1360010	1360546	37	43	30	27	152	53	46	28
SL1344_1259		-	1360589	1361449	10	11	15	8	25	37	19	76
SL1344_1260	ydiZ	-	1361556	1361846	11	9	4	7	32	26	20	31
SL1344_1261	pfkB	-	1361943	1362875	23	16	18	10	22	37	33	43
SL1344_1262	ydiY	+	1363164	1363922	66	56	20	71	17	45	42	10
STnc3460		+	1363846	1363967	115	151	90	158	144	125	80	62
SL1344_1263		-	1363971	1364930	10	8	3	6	9	3	7	3
STnc4210		-	1363997	1363925	30	45	47	33	128	19	59	78
SL1344_1264		+	1365073	1365387	7	5	3	14	27	6	6	4
SL1344_1265		+	1365483	1366238	16	23	9	17	66	14	16	17
SL1344_1330A		+	1366411	1366617	8	14	21	9	28	15	13	7
SL1344_1266		-	1366940	1368163	77	109	119	68	113	153	101	59
SL1344_1267		+	1369055	1370983	373	302	132	224	222	405	264	198
SL1344_1268		+	1370987	1371529	6586	4524	4049	6042	4727	4688	4528	1257
SL1344_1269		+	1371625	1371822	5923	4440	4502	5669	4895	5065	4081	825
SL1344_1270		+	1371873	1372229	5107	3871	3493	5012	4146	4474	3571	778
SL1344_1271		+	1372531	1373514	96	102	31	90	30	132	63	25
SL1344_1272		+	1373530	1375917	163	139	72	159	196	200	142	75
SL1344_1273		+	1375910	1376221	920	661	589	847	1698	1032	1000	647
STnc540		+	1376271	1376364	350	282	580	469	417	292	371	489
SL1344_1274		+	1376424	1377404	32	27	35	18	10	33	27	11
SL1344_1275		+	1377496	1378047	27	22	11	8	32	45	28	13
SL1344_1276		+	1378047	1378796	15	10	7	7	9	23	16	6
SL1344_1277		+	1378873	1379337	32	35	17	16	63	36	35	23
SL1344_1278		+	1379651	1380364	14	13	5	5	17	12	11	4
SL1344_1279		+	1380426	1381868	34	38	20	17	47	39	34	12
SL1344_1280	ydiE	-	1381903	1382094	218	399	541	199	162	471	695	5
SL1344_1281	aroH	-	1382251	1383297	38	29	17	24	14	45	48	22
SL1344_1282	ydiA	-	1383453	1384286	26	30	20	6	25	42	29	15
SL1344_1283	pps	+	1384581	1387001	214	130	57	12	83	372	216	39
SL1344_1284	ydiD	-	1387043	1388683	3	2	2	3	4	2	3	4
SL1344_1285	ydiT	-	1388773	1389066	1	2	0	2	1	2	4	3
SL1344_1286	ydiS	-	1389063	1390349	1	2	2	1	1	1	2	2
SL1344_1287	ydiR	-	1390406	1391341	6	7	3	11	10	5	4	2
SL1344_1288	ydiQ	-	1391363	1392127	0	1	0	0	0	0	0	1
SL1344_1289	ydiP	+	1392590	1393480	2	1	2	2	6	2	2	3
SL1344_1290	ydiO	-	1393556	1394707	8	11	5	14	18	15	11	13
SL1344_1291	ydiF	-	1394721	1396316	1	1	0	1	2	1	2	1
SL1344_1292	aroD	-	1396470	1397228	15	18	6	8	6	20	22	14
SL1344_1293	aroE	-	1397273	1398139	6	7	5	6	8	9	8	10
SL1344_1294	ydiN	-	1398221	1399440	0	1	0	0	1	0	0	1
SL1344_1296	ydiM	-	1399804	1401015	1	2	1	1	2	1	1	2
SL1344_1297	ydiL	-	1401156	1401515	2	2	1	1	4	7	2	6
RprA		-	1401790	1401682	724	554	957	1609	15693	2207	660	1011
SL1344_1298	ydiK	-	1401973	1403091	18	18	9	15	14	24	17	14
SL1344_1299	ydiJ	+	1403356	1406412	21	17	8	9	10	31	30	19
SL1344_1300		+	1406409	1406819	24	15	6	9	9	24	25	25
SL1344_1301	ydiH	+	1406918	1407106	108	88	79	107	152	166	113	200
RydB		+	1407278	1407371	178	223	414	304	100	31	278	340
SL1344_1302		-	1407394	1408740	6	4	4	4	7	22	9	4
SL1344_1303	sufA	+	1409167	1409535	31	20	16	17	27	111	324	3
SL1344_1304	sufB	+	1409544	1411031	28	18	2	10	18	97	260	5
SL1344_1305	sufC	+	1411048	1411794	20	14	3	9	12	66	196	6
SL1344_1306	sufD	+	1411769	1413040	27	15	5	12	13	87	244	5
SL1344_1307	sufS	+	1413037	1414257	16	9	3	7	9	52	130	5
SL1344_1308	ynhA	+	1414270	1414686	16	8	2	8	14	41	132	6
SL1344_1309	ynhG	+	1414841	1415842	16	15	8	8	28	40	83	19
SL1344_1310	lppB	-	1415909	1416148	33	25	38	27	36	22	25	42
SL1344_1311	lpp	-	1416231	1416467	34684	27573	38948	32010	28961	56031	37604	39450
SL1344_1312	pykF	-	1416778	1418136	86	111	26	146	34	91	61	80
SL1344_1313	orf48	-	1418592	1419935	2	3	2	2	2	2	2	4
SL1344_1314	orf32	-	1419957	1420850	1	3	1	2	2	1	1	1
SL1344_1315	orf245	-	1420909	1421646	1	1	0	1	3	1	1	3
SL1344_1316	orf408	-	1421658	1422884	0	1	1	0	2	4	1	3
SL1344_1317	ttrA	-	1423207	1426269	2	2	0	1	1	1	1	2
SL1344_1318	ttrC	-	1426262	1427284	0	1	0	0	0	1	1	2
SL1344_1319	ttrB	-	1427285	1428037	0	1	0	1	1	1	0	2
SL1344_1320	ttrS	+	1428201	1429979	16	15	18	7	8	44	17	59
SL1344_1321	ttrR	+	1429936	1430574	15	13	7	4	10	27	16	49
SL1344_1322	orf70	+	1430672	1430884	80	105	91	61	147	115	82	118
SL1344_1323	orf319	-	1430980	1431939	20	22	18	12	38	42	31	28
SL1344_1324	orf242	-	1432112	1432840	18	16	6	11	36	18	18	17
SL1344_1325	ssrB	-	1433019	1433657	5	6	7	14	252	11	12	7
